Country letter code,ISO code,Country,,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
XMP,915,,Madhya Pradesh,6251800,6274751,6310960,6360018,6421513,6495037,6580177,6676524,6783668,6901198,7028704,7165776,7312003,7466974,7630280,7801510,7980255,8166102,8358643,8557467,8762163,8972321,9187531,9407382,9631465,9859368,10090682,10324996,10561900,10800983,11041835,11284046,11527205,11770903,12014728,12258270,12501120,12742866,12983099,13221407,13457381,13690611,13920686,14147195,14369729,14587876,14801227,15009372,15211899,15408400,15598462,15781676,15957632,16125919,16286127,16437846,16580665,16714174,16837962,16951620,17054736,17146901,17227705,17296736,17353584,17397840
XMH,916,,Maharashtra,11041058,10958319,10905485,10881589,10885667,10916753,10973881,11056086,11162402,11291865,11443508,11616366,11809474,12021867,12252578,12500642,12765094,13044968,13339299,13647122,13967471,14299380,14641884,14994018,15354816,15723313,16098543,16479540,16865340,17254977,17647485,18041899,18437254,18832583,19226923,19619306,20008767,20394342,20775065,21149970,21518092,21878465,22230124,22572103,22903437,23223161,23530308,23823915,24103014,24366641,24613830,24843616,25055033,25247116,25418900,25569418,25697705,25802797,25883727,25939530,25969241,25971893,25946523,25892164,25807850,25692617
XMG,918,,Meghalaya,242372,242667,245480,248389,251395,254498,257698,260995,264388,267879,271466,275150,278931,282809,286783,290855,295023,299288,303650,308109,312664,317317,322066,326912,331855,336895,342032,347265,352596,358023,363547,369168,374885,380700,386611,392619,398724,404926,411225,417621,424113,430702,437388,444171,451051,458028,465101,472272,479539,486903,494364,501921,509576,517327,525175,533120,541162,549301,557536,565869,574298,582824,591447,600167,608983,617897
XOD,921,,Odisha,4862303,4900015,4959107,5018703,5078804,5139409,5200519,5262134,5324253,5386877,5450006,5513639,5577776,5642419,5707566,5773217,5839374,5906034,5973200,6040870,6109045,6177724,6246908,6316597,6386790,6457488,6528690,6600397,6672609,6745325,6818546,6892271,6966502,7041236,7116476,7192220,7268468,7345222,7422480,7500242,7578509,7657281,7736557,7816338,7896624,7977414,8058709,8140508,8222812,8305621,8388934,8472752,8557075,8641902,8727234,8813070,8899411,8986257,9073607,9161462,9249822,9338686,9428054,9517928,9608306,9699188
XPJ,922,,Punjab,3020614,3055922,3103518,3151231,3199063,3247012,3295080,3343265,3391568,3439989,3488528,3537185,3585960,3634852,3683863,3732991,3782238,3831602,3881084,3930684,3980402,4030238,4080192,4130263,4180453,4230760,4281186,4331729,4382390,4433169,4484066,4535081,4586214,4637464,4688833,4740319,4791924,4843646,4895486,4947444,4999520,5051714,5104026,5156455,5209003,5261668,5314452,5367353,5420372,5473509,5526764,5580137,5633628,5687236,5740963,5794807,5848770,5902850,5957048,6011364,6065798,6120350,6175020,6229807,6284713,6339736
XRJ,923,,Rajasthan,5521599,5499917,5496529,5510836,5542236,5590131,5653922,5733008,5826791,5934670,6056047,6190322,6336895,6495167,6664539,6844411,7034183,7233257,7441032,7656910,7880290,8110574,8347162,8589454,8836851,9088754,9344562,9603678,9865500,10129430,10394868,10661215,10927871,11194237,11459714,11723701,11985600,12244810,12500734,12752770,13000320,13242784,13479563,13710057,13933666,14149792,14357835,14557195,14747273,14927470,15097186,15255821,15402776,15537452,15659249,15767567,15861808,15941372,16005659,16054070,16086005,16100866,16098051,16076963,16037001,15977567
XTN,925,,Tamil Nadu,10062710,10086106,10170499,10255802,10342013,10429134,10517163,10606101,10695949,10786705,10878370,10970945,11064428,11158820,11254121,11350331,11447451,11545479,11644416,11744262,11845017,11946681,12049254,12152736,12257127,12362427,12468636,12575754,12683781,12792717,12902562,13013316,13124979,13237550,13351031,13465421,13580720,13696928,13814044,13932070,14051005,14170848,14291601,14413263,14535833,14659313,14783701,14908999,15035205,15162321,15290345,15419279,15549121,15679873,15811533,15944103,16077581,16211968,16347265,16483470,16620584,16758608,16897540,17037381,17178131,17319790
XUP,927,,Uttar Pradesh,17533550,17707039,17915332,18138114,18375071,18625888,18890252,19167847,19458361,19761478,20076884,20404265,20743307,21093695,21455116,21827254,22209795,22602426,23004832,23416698,23837711,24267556,24705919,25152485,25606941,26068971,26538262,27014500,27497370,27986558,28481749,28982630,29488886,30000202,30516266,31036761,31561374,32089791,32621697,33156778,33694720,34235209,34777929,35322568,35868811,36416342,36964849,37514017,38063531,38613078,39162343,39711011,40258769,40805302,41350296,41893436,42434409,42972899,43508594,44041178,44570337,45095757,45617124,46134123,46646441,47153762
XWB,929,,West Bengal,9733126,9894252,10130971,10366130,10599730,10831770,11062251,11291173,11518535,11744338,11968582,12191266,12412390,12631956,12849962,13066408,13281296,13494623,13706392,13916601,14125251,14332341,14537872,14741844,14944256,15145109,15344402,15542136,15738311,15932926,16125982,16317478,16507416,16695793,16882612,17067871,17251570,17433711,17614292,17793313,17970775,18146678,18321021,18493805,18665030,18834695,19002801,19169347,19334334,19497762,19659630,19819939,19978689,20135879,20291510,20445581,20598093,20749046,20898439,21046273,21192548,21337263,21480418,21622015,21762052,21900529
XAN,981,,Andaman and Nicobar Islands,23132,25625,28009,30286,32460,34535,36516,38406,40210,41930,43572,45138,46634,48063,49429,50735,51987,53188,54341,55451,56522,57557,58562,59538,60492,61426,62344,63251,64150,65046,65942,66842,67751,68672,69609,70566,71547,72556,73598,74675,75792,76953,78162,79423,80740,82116,83556,85064,86643,88298,90032,91850,93756,95753,97845,100036,102331,104733,107247,109875,112623,115493,118491,121620,124884,128286
XCR,982,,Chandigarh,71675,77724,83434,88817,93889,98664,103156,107382,111354,115088,118598,121900,125007,127934,130697,133309,135785,138140,140388,142545,144624,146641,148610,150546,152463,154376,156299,158248,160237,162280,164392,166589,168883,171291,173827,176505,179340,182346,185539,188933,192542,196382,200467,204811,209429,214336,219546,225074,230936,237144,243714,250661,258000,265744,273909,282509,291558,301073,311066,321553,332548,344067,356123,368731,381907,395664
XCH,905,,Chhattisgarh,2475345,2434626,2402189,2377769,2361102,2351925,2349972,2354981,2366687,2384826,2409134,2439347,2475200,2516430,2562774,2613965,2669741,2729838,2793991,2861937,2933411,3008149,3085888,3166362,3249309,3334464,3421563,3510341,3600536,3691882,3784116,3876974,3970191,4063504,4156649,4249360,4341376,4432430,4522260,4610601,4697189,4781760,4864051,4943796,5020732,5094595,5165121,5232045,5295104,5354034,5408570,5458449,5503406,5543178,5577500,5606108,5628738,5645126,5655009,5658121,5654199,5642980,5624198,5597589,5562891,5519838
XDD,983,,Daman and Diu,11931,11860,12074,12311,12570,12851,13154,13479,13826,14195,14587,15000,15436,15894,16373,16875,17399,17945,18514,19104,19716,20351,21007,21686,22387,23110,23855,24622,25411,26222,27056,27911,28789,29688,30610,31554,32520,33508,34518,35551,36605,37681,38780,39901,41044,42208,43395,44605,45836,47089,48364,49662,50981,52323,53687,55073,56481,57911,59363,60837,62334,63852,65393,66956,68540,70147
XDL,906,,Delhi,899792,972144,1041843,1109028,1173841,1236423,1296916,1355461,1412201,1467276,1520829,1573000,1623932,1673767,1722645,1770708,1818098,1864957,1911426,1957647,2003761,2049910,2096236,2142879,2189983,2237688,2286135,2335467,2385826,2437352,2490187,2544474,2600353,2657966,2717455,2778961,2842626,2908592,2976999,3047991,3121708,3198292,3277884,3360627,3446661,3536128,3629171,3725930,3826547,3931164,4039922,4152963,4270429,4392461,4519201,4650790,4787370,4929082,5076069,5228471,5386431,5550089,5719588,5895070,6076675,6264545
XDN,984,,Dadra and Nagar Haveli,17380,17150,17203,17311,17474,17692,17966,18294,18678,19116,19610,20159,20763,21422,22136,22905,23729,24608,25543,26532,27577,28676,29831,31041,32306,33626,35001,36431,37916,39456,41051,42702,44407,46168,47983,49854,51780,53761,55797,57888,60034,62235,64491,66803,69169,71591,74067,76599,79186,81828,84525,87277,90084,92946,95863,98835,101863,104945,108083,111275,114523,117826,121184,124597,128065,131588
XGO,907,,Goa,197905,198067,198922,199819,200759,201742,202767,203835,204945,206098,207294,208532,209812,211136,212502,213910,215361,216855,218391,219969,221591,223255,224961,226710,228502,230336,232213,234132,236094,238099,240146,242235,244368,246543,248760,251020,253323,255668,258055,260486,262959,265474,268032,270633,273276,275962,278690,281461,284275,287131,290030,292971,295955,298981,302050,305162,308316,311513,314752,318034,321359,324726,328135,331588,335083,338620
XJR,912,,Jharkhand,3628344,3640263,3668757,3698598,3729785,3762319,3796199,3831425,3867998,3905918,3945184,3985797,4027756,4071062,4115714,4161713,4209058,4257750,4307788,4359173,4411905,4465982,4521407,4578178,4636295,4695759,4756570,4818727,4882230,4947080,5013277,5080820,5149710,5219946,5291528,5364458,5438733,5514355,5591324,5669639,5749301,5830309,5912664,5996366,6081413,6167808,6255549,6344636,6435070,6526851,6619977,6714451,6810271,6907438,7005951,7105810,7207016,7309569,7413468,7518714,7625306,7733244,7842530,7953161,8065140,8178464
XME,917,,Manipur,232631,231810,234210,236731,239373,242136,245020,248024,251149,254395,257762,261249,264857,268586,272436,276407,280498,284710,289043,293497,298071,302767,307583,312519,317577,322755,328055,333474,339015,344677,350459,356362,362386,368531,374796,381182,387689,394317,401065,407935,414925,422036,429267,436620,444093,451687,459402,467237,475193,483271,491468,499787,508226,516787,525468,534269,543192,552235,561400,570684,580090,589617,599264,609032,618921,628930
XMZ,919,,Mizoram,78110,78919,80544,82190,83858,85547,87259,88992,90746,92523,94321,96141,97983,99847,101732,103639,105567,107518,109490,111484,113500,115537,117596,119677,121780,123904,126050,128218,130408,132619,134852,137107,139383,141682,144002,146344,148707,151092,153499,155928,158378,160851,163345,165860,168398,170957,173538,176140,178765,181411,184079,186768,189480,192213,194968,197744,200543,203363,206204,209068,211953,214860,217789,220740,223712,226706
XNG,920,,Nagaland,106410,115974,125128,133885,142254,150248,157879,165158,172097,178707,185000,190988,196683,202095,207237,212120,216756,221157,225334,229299,233063,236639,240037,243269,246348,249284,252090,254776,257356,259839,262238,264565,266831,269048,271227,273380,275519,277656,279801,281967,284165,286407,288705,291070,293514,296048,298685,301435,304310,307323,310484,313806,317299,320977,324849,328928,333226,337754,342524,347547,352835,358400,364254,370407,376872,383660
XPO,985,,Puducherry,101614,103484,106884,110281,113674,117063,120448,123828,127205,130578,133947,137311,140672,144029,147382,150731,154075,157416,160753,164086,167415,170739,174060,177377,180690,183999,187303,190604,193901,197194,200482,203767,207048,210325,213598,216866,220131,223392,226649,229902,233150,236395,239636,242873,246106,249334,252559,255780,258997,262210,265418,268623,271824,275021,278213,281402,284587,287768,290945,294117,297286,300451,303612,306769,309921,313070
XSK,924,,Sikkim,50163,50990,52179,53375,54579,55790,57008,58234,59467,60707,61955,63210,64472,65742,67018,68303,69594,70893,72199,73513,74833,76162,77497,78840,80190,81547,82912,84284,85663,87050,88444,89845,91254,92670,94093,95524,96962,98407,99859,101319,102786,104261,105743,107232,108728,110232,111743,113262,114787,116321,117861,119409,120964,122526,124096,125673,127257,128849,130448,132054,133667,135288,136917,138552,140195,141845
XTR,926,,Tripura,338700,343557,351411,359332,367320,375375,383498,391688,399945,408269,416660,425119,433645,442238,450899,459626,468421,477283,486212,495209,504273,513403,522602,531867,541200,550599,560066,569601,579202,588871,598607,608410,618280,628218,638222,648294,658434,668640,678914,689255,699663,710138,720681,731290,741967,752712,763523,774402,785347,796361,807441,818588,829803,841085,852434,863851,875334,886885,898503,910188,921941,933761,945648,957602,969623,981712
XUT,928,,Uttarakhand,970037,979760,994703,1009884,1025303,1040959,1056854,1072987,1089357,1105966,1122813,1139897,1157220,1174780,1192579,1210615,1228889,1247402,1266152,1285140,1304366,1323830,1343532,1363472,1383651,1404066,1424720,1445612,1466742,1488110,1509716,1531560,1553641,1575961,1598519,1621314,1644348,1667619,1691129,1714876,1738861,1763085,1787546,1812245,1837183,1862358,1887771,1913422,1939311,1965438,1991803,2018406,2045247,2072326,2099643,2127197,2154990,2183021,2211289,2239796,2268541,2297523,2326744,2356202,2385899,2415833
