Country letter code,ISO code,Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
AZE,31,Azerbaijan,738212,751262,765105,780002,796316,814261,833732,854509,876541,899805,924182,949964,976894,1003700,1028697,1050805,1069407,1085175,1099892,1116061,1135463,1158589,1184836,1213552,1243664,1274325,1305493,1337204,1368734,1399164,1427775,1454052,1477988,1499977,1520702,1540621,1559838,1578006,1594616,1608982,1619830,1627348,1631835,1633886,1634369,1633985,1633098,1631767,1630001,1627639,1624546,1620678,1616141,1611034,1605449,1599332,1592574,1584817,1575422,1563621,1548858,1540890,1530200,1516812,1500809,1482379
BHS,44,Bahamas,21559,22065,22546,22995,23406,23780,24106,24394,24681,25016,25430,25937,26520,27142,27752,28313,28817,29276,29702,30121,30548,30986,31427,31853,32244,32587,32878,33129,33355,33577,33806,34070,34369,34704,35080,35498,35966,36480,37013,37522,37984,38382,38730,39063,39428,39864,40388,40989,41644,42317,42979,43619,44249,44894,45592,46370,47241,48191,49187,50179,51130,51128,51040,50892,50722,50559
BHR,48,Bahrain,29410,30599,31704,33010,34529,36272,38218,40344,42651,45147,47831,50749,53859,56988,59881,62357,64327,65860,67130,68404,69879,71636,73631,75806,78060,80333,82686,85198,87834,90539,93306,95885,98359,101441,106020,112602,121536,132294,143448,153102,159982,163638,164618,163897,162882,162579,163229,164526,166262,168052,169616,170921,172073,173100,174062,174990,175917,176789,177455,177721,177462,176766,175574,174054,172440,170922
BGD,50,Bangladesh,12065038,12281989,12454019,12609435,12788549,12996084,13265012,13586198,13948080,14332781,14728252,15132290,15550749,15989348,16456323,16956838,17493525,18062729,18655520,19259259,19864923,20467545,21070019,21680665,22312097,22973058,23664627,24381955,25120660,25874253,26636970,27407899,28185056,28960113,29722700,30464908,31182356,31875107,32545176,33196700,33832461,34451237,35025311,35558118,36049699,36499491,36906300,37267558,37580055,37840131,38044876,38194104,38286793,38317466,38278534,38164202,37970916,37699376,37352412,36935285,36451397,36526570,36572513,36592661,36590952,36570482
BRB,52,Barbados,19331,19399,19637,19955,20230,20382,20378,20257,20095,19999,20041,20232,20536,20922,21337,21742,22135,22517,22854,23108,23258,23308,23280,23212,23150,23130,23159,23226,23319,23424,23525,23626,23728,23827,23915,23987,24043,24084,24117,24144,24173,24203,24236,24288,24378,24522,24728,24993,25304,25633,25967,26296,26627,26974,27363,27807,28315,28879,29482,30099,30710,30679,30623,30551,30473,30399
BLR,112,Belarus,1639072,1650844,1659081,1664507,1668461,1672004,1674963,1677117,1679441,1683174,1678106,1675883,1676101,1676945,1675874,1671234,1662121,1649521,1635932,1624811,1618464,1617670,1621224,1626991,1631941,1633883,1632203,1627459,1620048,1610756,1600141,1588239,1574797,1559780,1543126,1524852,1505001,1483785,1461605,1438981,1415124,1392010,1369649,1348127,1327480,1307714,1289000,1271324,1254272,1237242,1219815,1201753,1183225,1164692,1146822,1130055,1114486,1099854,1085804,1071857,1057666,1040088,1022071,1003595,984643,965285
BEL,56,Belgium,1645365,1644571,1636754,1625159,1614441,1607855,1606260,1608508,1613368,1618885,1623664,1627425,1630687,1633815,1637448,1642060,1647556,1653683,1660500,1668013,1676028,1684777,1693813,1701433,1705454,1704477,1697815,1686248,1671685,1656819,1643609,1632504,1623000,1614893,1607696,1600961,1594858,1589353,1583556,1576323,1566453,1554469,1540711,1525785,1510572,1495727,1481403,1467493,1454072,1441170,1428821,1417116,1406134,1395868,1386283,1377349,1369099,1361581,1354775,1348610,1342997,1340568,1338328,1336394,1334932,1334048
BLZ,84,Belize,16781,16867,16872,16836,16810,16842,16937,17095,17334,17681,18147,18740,19447,20237,21069,21908,22753,23606,24443,25231,25954,26602,27191,27776,28431,29207,30118,31147,32265,33436,34629,35786,36960,38162,39406,40698,42039,43416,44806,46180,47517,48813,50067,51284,52470,53627,54754,55850,56910,57940,58934,59895,60823,61722,62598,63455,64295,65116,65913,66671,67386,68274,69107,69896,70660,71409
BEN,204,Benin,554011,563600,573803,584716,596439,609058,622634,637190,652709,669162,683479,698580,714506,731171,748444,766282,784505,803245,823124,844964,869276,896460,926155,957196,987979,1017445,1045098,1071498,1097911,1126136,1157414,1192112,1229716,1269483,1310308,1351370,1392508,1433827,1475131,1516419,1557707,1598879,1639884,1680883,1722114,1763723,1805702,1847928,1890312,1932722,1975018,2017074,2058761,2099898,2140288,2179725,2217993,2254863,2290024,2323133,2353845,2417141,2480914,2545084,2609568,2674293
BMU,60,Bermuda,7746,7849,7949,8047,8154,8275,8413,8566,8728,8897,9069,9163,9258,9347,9433,9512,9588,9654,9713,9754,9777,9780,9765,9732,9678,9605,9511,9400,9275,9146,9015,8890,8765,8637,8501,8351,8188,8014,7831,7642,7451,7257,7071,6897,6745,6618,6521,6450,6401,6366,6336,6313,6295,6287,6292,6314,6353,6404,6469,6541,6614,6624,6627,6626,6617,6600
BTN,64,Bhutan,45199,46560,47980,49440,50922,52408,53900,55393,56862,58264,59582,60759,61807,62846,64045,65500,67341,69484,71560,73062,73668,73198,71878,70260,69128,69045,70204,72431,75471,78914,82443,85999,89665,93411,97245,101161,104327,107443,110511,113560,116601,119636,122638,125550,128296,130821,133098,135137,136970,138637,140172,141582,142850,143945,144834,145491,145904,146082,146049,145838,145474,146134,146657,147015,147164,147078
BOL,68,Bolivia (Plurinational State of),592877,608121,623891,640127,656747,673706,690967,707618,724643,742179,760325,779120,798537,818534,839032,859980,881347,903150,925432,948260,971667,995667,1020213,1045213,1070546,1096125,1121903,1147897,1174152,1200734,1227679,1255058,1282821,1310757,1338586,1366135,1393261,1420118,1447199,1474984,1503701,1533466,1564039,1595061,1626017,1656504,1686443,1715834,1744453,1772041,1798410,1823381,1846958,1869360,1890934,1911904,1932310,1951996,1970744,1988241,2004234,2033907,2062800,2090866,2118083,2144418
BIH,70,Bosnia and Hercegovina,638361,650350,661627,672388,682979,693657,704416,715152,725911,736734,747640,758167,762560,766932,772173,778614,787440,797752,805453,805169,793683,769015,733767,694788,661316,639524,631717,635130,644632,652858,654683,648752,636972,621508,605724,592014,581009,571850,564044,556721,549247,541574,533993,526610,519613,513150,507195,501710,496822,492678,489346,486842,485026,483614,482250,480655,478808,476690,474061,470624,466175,461387,455335,448300,440696,432849
BWA,72,Botswana,70565,72606,74429,76433,78705,81294,84240,87499,90944,94400,97747,100946,104043,107112,110260,113563,117024,120620,124378,128325,132475,136810,141298,145903,150575,155265,159967,164629,169086,173131,176622,179510,181932,183985,185799,187480,189064,190577,192104,193751,195604,197704,200088,202831,206012,209692,213903,218640,223873,229543,235601,242032,248820,255902,263197,270634,278181,285807,293445,301021,308477,312669,316499,320003,323240,326266
BRA,76,Brazil,12486157,12828036,13185103,13556121,13939411,14333976,14738092,15152377,15580824,16028866,16499550,16994347,17509748,18037700,18567377,19090966,19604832,20110574,20612089,21115764,21625916,22142752,22663303,23184846,23703462,24215718,24720087,25215472,25699197,26168265,26619986,27052408,27464039,27853283,28218792,28559440,28875543,29166544,29429826,29662267,29862589,30021974,30153977,30268138,30376950,30489247,30607751,30729775,30851943,30968769,31075868,31173802,31262663,31336973,31389484,31414826,31412218,31383310,31328125,31247182,31141715,30988776,30803880,30597874,30384956,30175902
VGB,92,British Virgin Islands,1038,1062,1090,1117,1145,1170,1193,1216,1240,1276,1324,1384,1458,1543,1641,1752,1877,2010,2143,2263,2360,2432,2482,2519,2549,2578,2607,2636,2665,2695,2726,2757,2791,2828,2874,2929,2997,3074,3150,3212,3248,3257,3241,3211,3180,3157,3147,3147,3154,3167,3184,3204,3228,3256,3287,3320,3356,3392,3431,3467,3504,3504,3500,3494,3489,3485
BRN,96,Brunei Darussalam,18308,19326,20272,21236,22197,23131,24036,24917,25775,26628,27495,28377,29287,30271,31382,32647,34086,35673,37337,38978,40538,41970,43303,44632,46094,47767,49686,51783,53919,55911,57630,59044,60175,61106,61915,62651,63316,63892,64380,64781,65097,65338,65507,65599,65602,65512,65327,65066,64756,64440,64144,63891,63678,63503,63355,63226,63110,63020,62994,63075,63295,63619,64053,64539,64994,65356
BGR,100,Bulgaria,1624728,1632125,1632987,1629057,1623079,1617126,1611587,1606010,1600649,1595636,1591058,1587096,1583841,1581129,1578684,1576244,1560842,1545547,1529820,1512961,1494486,1474133,1452093,1428875,1405226,1381681,1358393,1335204,1311978,1288509,1264700,1240673,1216618,1192591,1168605,1144693,1120724,1096797,1073408,1051235,1030727,1012131,994350,978014,962051,945673,928682,911210,893201,874670,855647,836027,815840,795433,775289,755777,736989,718919,701716,685524,670444,655818,642057,628830,615653,602222
BFA,854,Burkina Faso,1088918,1104959,1121832,1139450,1157674,1176446,1193174,1210470,1228705,1248369,1269811,1293205,1318500,1345535,1374065,1403916,1435114,1467790,1502036,1537966,1575673,1615143,1656395,1699615,1745032,1792812,1843047,1895675,1950533,2007388,2066067,2126586,2189007,2253258,2319254,2386939,2456285,2527365,2600359,2675509,2753006,2831718,2911239,2991470,3072275,3153507,3234941,3316393,3397794,3479122,3560206,3640762,3720292,3798078,3873253,3945057,4012869,4076115,4134136,4186197,4231522,4356511,4483656,4613076,4744954,4879391
BDI,108,Burundi,498426,503100,506554,510202,515982,525246,538524,555280,574474,594548,612972,630625,647752,664651,681858,699664,718170,736939,755099,771484,785275,796643,805969,812985,817405,819370,818390,815481,814134,818939,833117,857875,892136,933968,980360,1028959,1079386,1131850,1185250,1238388,1290399,1340955,1389374,1436018,1481566,1526539,1570977,1614763,1658093,1701179,1744182,1787128,1830065,1873143,1916504,1960202,2004153,2048172,2092058,2135573,2178506,2242940,2309073,2376857,2446208,2517082
KHM,116,Cambodia,1013964,1035721,1061115,1086711,1107800,1121352,1125851,1123200,1117961,1116506,1123311,1140051,1165179,1196015,1228461,1259626,1288685,1316782,1345334,1376513,1411794,1451678,1495384,1541569,1588326,1634316,1679012,1722953,1767139,1813007,1861500,1912537,1965539,2020358,2076871,2134949,2194817,2256201,2317836,2377938,2435090,2487680,2535992,2580397,2621763,2660815,2698156,2733661,2766522,2795440,2819591,2837427,2849616,2860079,2874293,2895708,2927248,2966407,3004680,3030092,3034441,3036358,3018091,2989232,2963608,2951067
CMR,120,Cameroon,1146536,1169608,1193498,1218366,1244407,1271784,1300611,1326773,1354167,1382729,1412435,1443296,1475401,1508903,1543997,1580830,1619484,1659952,1702184,1746088,1791610,1838754,1887575,1938126,1990465,2044620,2100610,2158421,2218005,2279307,2342310,2406971,2473358,2541706,2612348,2685520,2761340,2839730,2920474,3003250,3087815,3174138,3261595,3349218,3436812,3524193,3611147,3697555,3783427,3868830,3953758,4037989,4121298,4203625,4284955,4365238,4444387,4522093,4597778,4670761,4740477,4867755,4995835,5124694,5254368,5384888
CAN,124,Canada,3618486,3710450,3771900,3834180,3896261,3957374,4017109,4075445,4132532,4188700,4244199,4298398,4351112,4403545,4457387,4513559,4572755,4633669,4692761,4745213,4787465,4818571,4839291,4849900,4851195,4843968,4827929,4803400,4772578,4738341,4702848,4666656,4629556,4591932,4554021,4515891,4478466,4435886,4395362,4354234,4311007,4264884,4217438,4172410,4134816,4108105,4093526,4089765,4094477,4104123,4116056,4129677,4145524,4163495,4183759,4206444,4231474,4258641,4287963,4319483,4353323,4356102,4357385,4357867,4358459,4359871
CPV,132,Cabo Verde,25428,26124,27039,28009,28806,29277,29344,29079,28675,28400,28444,28832,29551,30451,31311,31978,32394,32633,32822,33156,33767,34694,35886,37275,38762,40260,41748,43229,44671,46048,47340,48546,49665,50696,51638,52494,53262,53961,54629,55323,56080,56916,57822,58795,59819,60887,61996,63149,64342,65571,66830,68124,69446,70768,72053,73273,74411,75469,76459,77401,78309,78653,78912,79077,79135,79076
CYM,136,Cayman Islands,1148,1215,1305,1414,1538,1674,1823,1985,2147,2292,2390,2446,2474,2505,2590,2758,3026,3377,3773,4162,4509,4796,5037,5264,5526,5851,6251,6704,7165,7574,7888,8094,8208,8260,8290,8327,8379,8435,8483,8506,8489,8426,8339,8229,8106,7975,7837,7695,7551,7410,7276,7148,7029,6928,6851,6808,6801,6829,6880,6946,7013,7008,6998,6983,6966,6950
CAF,140,Central African Republic,319795,324570,329046,333495,338299,343756,348695,354190,360488,367873,376485,386569,397908,409634,420568,429930,437322,443130,448306,454205,461773,471281,482350,494484,506917,518900,530471,541760,552547,562607,571827,580057,587457,594609,602297,611081,621145,632328,644400,656986,669802,682780,695969,709311,722772,736311,749886,763438,776920,790285,803503,816564,829451,842138,854570,866709,878529,890026,901203,912067,922615,941566,960373,979046,997605,1016070
TCD,148,Chad,650435,664056,678732,693875,708665,722556,735383,747426,759127,771132,783968,797731,812447,828507,846357,866308,888635,913281,939828,967640,996289,1025679,1056050,1087720,1121144,1156685,1194361,1234147,1272107,1312379,1355123,1400568,1448564,1498426,1549221,1599879,1649909,1699551,1749313,1799962,1852032,1905609,1960462,2016440,2073293,2130817,2188896,2247473,2306492,2365888,2425542,2485259,2544771,2603727,2661726,2718427,2773508,2826738,2877881,2926735,2973022,3076176,3181758,3289721,3400024,3512601
CHL,152,Chile,1199822,1220336,1241538,1263518,1286393,1310244,1334988,1360610,1387309,1415349,1444866,1475853,1508082,1541179,1574675,1608211,1641624,1674847,1707725,1740094,1771761,1802605,1832434,1860897,1887607,1912300,1934831,1955232,1973630,1990218,2005103,2018279,2029638,2039070,2046437,2051650,2054768,2055870,2054934,2051931,2046925,2039831,2031701,2024699,2019906,2018125,2019837,2024896,2032678,2042201,2052774,2064032,2076252,2090145,2106758,2126732,2150317,2176946,2205471,2234260,2262080,2262165,2259190,2253327,2244964,2234445
CHN,156,China,119116582,122201235,125653409,129388560,133286817,137259643,141288287,145393925,149578026,153853369,158236270,162701994,167259527,171377030,175759927,180483317,185542175,190878668,196448208,202192476,208051988,214023144,220052215,225972724,231576268,236709074,241362617,245560396,249224499,252259135,254613863,256175382,257018799,257503688,258122924,259213206,260879660,262967693,265239816,267354871,269062556,270080157,270646826,270653797,269992438,268609647,266514970,263780911,260504786,256804058,252781413,248421618,243782824,239111705,234713309,230781541,227381175,224394661,221595049,218658405,215323688,213691889,211818242,209555370,206730073,203251630
HKG,344,"China, Hong Kong SAR",545947,545158,542233,543158,548474,558390,573235,592585,614960,638423,661583,684115,706266,727987,749383,770588,791459,812050,832935,854843,878249,902782,928099,954589,982741,1012528,1044547,1077688,1108235,1131387,1144004,1144657,1134910,1118289,1099745,1082749,1068275,1052043,1037272,1022280,1006057,988698,970971,953403,936637,921101,906874,893807,881767,870528,859898,849847,840347,831225,822273,813333,804403,795495,786546,777505,768421,750108,731383,712983,695867,680715
MAC,446,"China, Macao SAR",26493,26783,27012,27157,27190,27115,26912,26647,26518,26780,27609,29042,31023,33528,36509,39899,43711,47883,52189,56346,60142,63502,66457,69039,71319,73356,75144,76680,78029,79267,80456,81599,82696,83808,85007,86337,87835,89468,91134,92668,93955,94958,95713,96288,96783,97265,97753,98217,98634,98957,99160,99222,99159,99011,98839,98676,98556,98446,98229,97748,96897,95686,94116,92277,90304,88305
COL,170,Colombia,2430826,2508448,2590327,2676750,2761900,2851748,2946221,3045221,3148901,3257439,3370840,3488954,3611346,3737350,3866117,3996866,4129191,4262661,4396438,4529611,4661451,4791498,4919519,5045322,5168795,5289786,5408095,5523466,5635656,5744426,5849625,5951017,6048612,6142813,6234199,6323139,6409797,6493903,6574854,6651817,6724208,6791782,6855774,6916229,6973239,7027056,7077389,7124713,7170953,7218655,7269555,7324656,7383248,7443246,7501542,7555841,7605375,7650804,7692972,7733355,7773078,7806212,7836560,7864016,7888368,7909442
COM,174,Comoros,34151,34719,35334,36048,36932,38028,39368,40922,42605,44298,45922,46949,47869,48724,49580,50485,51446,52449,53497,54588,55719,56886,58092,59341,60637,61982,63373,64841,66352,67876,69393,70892,72375,73853,75341,76854,78401,79979,81596,83246,84934,86663,88435,90252,92108,93998,95920,97877,99874,101921,104024,106186,108407,110700,113074,115538,118102,120766,123502,126273,129056,131997,134934,137907,140978,144190
COG,178,Congo,173129,177632,182438,187452,192539,197610,202627,207645,212801,218281,224220,230671,237601,244944,252599,260430,268495,276832,285463,294428,303757,313411,323390,333793,344759,356362,368726,381763,395082,408150,420621,432228,443167,454102,465967,479389,494566,511114,528237,544804,560012,573628,585961,597412,608609,620037,631763,643726,656099,669071,682765,697271,712559,728468,744768,761279,777935,794760,811777,829045,846612,871127,896454,922536,949299,976677
COK,184,Cook Islands,2421,2452,2436,2403,2353,2283,2189,2081,1972,1888,1841,1838,1869,1915,1952,1967,1955,1922,1879,1843,1823,1821,1833,1849,1854,1843,1812,1767,1718,1681,1661,1660,1675,1701,1727,1750,1768,1781,1794,1805,1819,1835,1852,1869,1885,1899,1910,1920,1930,1940,1953,1968,1987,2009,2039,2077,2125,2179,2241,2307,2377,2402,2429,2454,2473,2486
CRI,188,Costa Rica,209898,217855,226550,235908,244812,254085,263659,273562,283892,294790,306329,318544,331327,344431,357533,370406,382988,395345,407527,419641,431772,443865,455924,468156,480834,494109,508062,522547,537189,551491,565093,577835,589795,601141,612151,623006,633763,644299,654420,663859,672439,680100,686889,693233,699403,705601,711858,718136,724459,730842,737273,743791,750344,756722,762636,767860,772305,775991,778932,781183,782788,781968,780230,777582,774029,769610
CIV,384,Côte d'Ivoire,884073,918598,955461,994499,1035432,1078078,1122369,1168432,1216492,1255625,1296212,1338346,1381857,1426283,1471032,1515723,1559943,1603874,1648400,1694713,1743495,1794603,1847251,1900622,1953692,2005539,2056486,2106144,2152208,2191641,2223486,2247246,2264434,2277961,2291664,2308363,2328648,2352204,2379691,2411618,2448215,2489848,2536259,2586273,2638319,2691277,2744888,2799366,2854692,2910983,2968364,3026881,3086535,3147345,3209278,3272328,3336395,3401616,3468451,3537512,3609215,3697494,3788032,3880750,3975481,4072060
HRV,191,Croatia,718780,722918,725430,726804,727827,729077,730689,732500,734457,736436,738351,740154,741930,743894,746330,749407,753138,757327,761673,765750,769195,772061,771724,770249,766842,760993,752288,741065,728471,716135,705229,696200,688718,682157,675594,668383,660447,652079,643448,634822,626403,618195,610155,602361,594901,587810,581095,574691,568460,562226,555844,549283,542528,535480,528036,520125,511729,502881,493644,484101,474347,467212,459962,452784,445912,439515
CUB,192,Cuba,1337234,1350994,1366278,1383214,1401900,1422358,1444620,1468602,1494042,1520599,1548030,1575990,1604437,1633768,1664563,1697079,1731400,1766884,1802152,1835405,1865312,1891412,1913845,1932637,1948003,1960091,1968866,1974245,1976316,1975207,1971104,1963733,1953276,1940136,1926705,1913979,1902734,1892384,1880930,1865571,1844418,1816867,1783875,1747032,1708645,1670450,1633157,1596549,1560354,1523971,1487127,1449599,1412079,1376265,1344399,1317995,1297746,1282919,1271810,1261891,1251197,1241228,1229826,1216534,1200989,1183020
