Country letter code,ISO code,Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
CYP,196,Cyprus,89080,90956,93163,95615,97564,99506,101446,103365,105106,106482,107386,107757,107690,107421,107263,107448,108025,108943,110192,111734,113531,115605,117941,120400,122802,125021,126976,128698,130321,132038,133971,136182,138582,140948,142988,144503,145412,145814,145924,146037,146366,146969,147712,148643,149633,150579,151467,152321,153138,153916,154657,155346,155966,156507,156958,157304,157561,157719,157725,157506,157024,155950,154543,152954,151394,150006
CZE,203,Czech Republic,1760546,1775014,1779125,1776406,1772371,1771057,1773442,1778249,1784599,1790907,1796080,1780753,1765152,1749991,1736236,1724479,1714810,1706723,1699418,1691784,1682905,1672408,1660218,1646103,1629970,1611825,1591757,1569869,1546395,1521777,1496640,1471229,1446160,1422803,1402588,1386246,1374026,1365272,1358548,1351967,1344154,1334547,1322795,1311380,1300798,1291355,1283100,1275561,1267944,1259226,1248688,1236276,1222234,1206593,1189487,1171211,1151606,1131208,1111887,1096074,1085542,1070583,1059856,1052246,1045993,1039805
PRK,408,Democratic People's Republic of  of Korea,2540228,2581528,2617220,2649383,2680635,2712732,2745571,2778673,2813001,2850033,2891035,2937333,2988827,3043670,3098858,3152162,3202072,3249437,3297064,3349112,3408382,3476154,3550726,3628493,3704541,3775582,3840129,3899522,3956620,4015345,4077831,4145679,4216561,4283792,4338232,4373680,4386203,4378550,4359492,4340700,4331584,4336243,4351219,4369115,4378713,4372004,4347278,4307986,4257542,4201360,4143967,4085069,4024799,3968567,3923010,3892183,3878817,3880007,3887143,3888329,3875086,3884025,3880782,3868747,3853532,3839244
COD,180,Democratic Republic of the Congo,3304191,3382246,3459746,3538135,3619466,3705157,3796128,3891854,3990587,4089781,4187815,4284471,4381059,4479375,4581933,4682721,4788526,4899438,5019507,5153900,5305468,5477762,5667702,5863524,6049140,6213791,6352685,6471265,6581597,6701037,6842166,7008858,7197598,7404579,7623196,7848602,8080291,8320094,8567110,8819054,9075995,9337450,9602649,9871104,10142271,10415627,10690587,10966729,11243727,11521278,11799012,12076204,12352051,12625989,12897382,13165533,13429684,13688962,13942076,14187562,14424268,14851433,15285155,15725408,16172304,16625777
DNK,208,Denmark,796001,799583,802640,805425,808300,811525,815117,818995,823188,827709,832537,837619,842881,848249,853645,858985,864244,869317,873950,877834,880734,882594,883441,883240,881980,879688,876368,872112,867168,861848,856410,850925,845429,840067,834980,830237,825923,821976,818136,814049,809490,804373,798595,792610,786769,781338,776423,771981,767950,764213,760691,757368,754304,751565,749239,747384,745966,744930,744259,743941,743931,747841,752077,756370,760375,763838
DJI,262,Djibouti,17232,18229,19239,20378,21795,23583,25829,28466,31254,33857,36050,37694,38903,40007,41485,43654,46655,50328,54316,58111,61349,63914,65943,67601,69172,70862,72715,74675,76734,78866,81046,83283,85596,87975,90406,92879,95389,97935,100512,103112,105733,108365,111001,113615,116182,118681,121102,123440,125698,127881,129991,132031,133995,135851,137567,139124,140499,141717,142866,144067,145400,146882,148501,150142,151641,152885
DMA,212,Dominica,5484,5453,5395,5315,5222,5123,5016,4904,4801,4730,4701,4725,4795,4884,4958,4992,4975,4917,4850,4812,4832,4919,5060,5229,5386,5508,5585,5626,5645,5662,5694,5744,5810,5884,5952,6000,6024,6028,6028,6049,6106,6211,6353,6510,6641,6722,6740,6709,6659,6635,6668,6768,6924,7127,7364,7621,7901,8200,8494,8750,8945,8911,8808,8663,8510,8374
DOM,214,Dominican Republic,587104,604391,622515,641434,661088,681425,702430,724081,746316,769048,792216,815782,839728,864022,888642,913562,938716,964078,989714,1015728,1042163,1069018,1096174,1123418,1150470,1177104,1203243,1228859,1253839,1278068,1301466,1323941,1345493,1366242,1386368,1406004,1425191,1443872,1461651,1478586,1494600,1509696,1523934,1537381,1550121,1562229,1573729,1584650,1595067,1605062,1614696,1623968,1632873,1641442,1649718,1657729,1665529,1673087,1680229,1686709,1692347,1702500,1711551,1719581,1726726,1733083
ECU,218,Ecuador,784226,809849,836960,865467,895238,923883,953489,984066,1015615,1048156,1081695,1116205,1151649,1188008,1225268,1263400,1302354,1342078,1382542,1423721,1465569,1507988,1550871,1594155,1637778,1681637,1725742,1769929,1813730,1856557,1898005,1937851,1976229,2013534,2050351,2087091,2123823,2160376,2196606,2232295,2267270,2300832,2333344,2364692,2394736,2423381,2450581,2476369,2500827,2524084,2546259,2567397,2587527,2606724,2625074,2642654,2659504,2675671,2691271,2706415,2721178,2745371,2768894,2791424,2812532,2831930
EGY,818,Egypt,5306137,5418409,5531897,5646636,5762747,5880585,5999968,6118038,6240508,6370484,6510203,6660006,6819248,6987908,7165750,7352274,7548054,7752137,7960548,8167925,8370255,8567237,8759851,8947153,9128394,9303992,9471731,9634070,9801780,9989223,10206214,10456764,10736654,11037258,11345847,11652837,11955863,12256522,12553925,12843552,13121521,13386680,13638072,13875919,14100751,14312932,14511397,14695846,14868167,15030973,15185627,15332211,15468483,15590505,15692993,15771631,15824764,15851845,15851193,15821568,15762446,15904617,16032911,16148844,16254463,16351912
SLV,222,El Salvador,474417,487577,499673,512226,524749,536875,548572,559907,570761,581008,590600,599460,607715,615772,624178,633336,643226,653757,665151,677660,691369,706523,722815,739120,753938,766245,775653,782588,787857,792646,797830,803609,809804,816462,823550,831045,838971,847380,856175,865551,875468,885913,896780,907810,918689,929192,939268,948941,958163,966884,975065,982668,989703,996213,1002251,1007837,1012902,1017388,1021335,1024830,1027930,1029346,1029991,1029762,1028510,1026126
GNQ,226,Equatorial Guinea,43768,41648,38497,34765,31091,27972,25473,23558,22498,22588,23996,26901,31150,36146,40806,44750,47779,50054,51792,53352,54992,56743,58510,60300,62090,63870,65644,67429,69226,71040,72870,74715,76571,78411,80211,81956,83642,85286,86910,88555,90251,92014,93851,95758,97724,99747,101828,103984,106242,108632,111180,113884,116740,119756,122946,126310,129851,133549,137346,141170,144965,149329,153666,157963,162200,166371
ERI,232,Eritrea,283800,290967,298257,305795,313751,322257,331318,340928,351181,362181,373976,386398,399303,412759,426869,441571,457410,474021,489383,500787,506553,505824,499919,492026,486605,486969,492516,503857,520892,543110,569928,601703,638096,676778,714888,750423,782570,811807,839065,865830,893168,921284,949765,978301,1006368,1033604,1059853,1085289,1110253,1135228,1160522,1186163,1211929,1237571,1262753,1287242,1310989,1334038,1356324,1377811,1398484,1433712,1469130,1504821,1540909,1577484
EST,233,Estonia,231695,233366,234454,235121,235630,236179,236791,237408,238060,238768,239539,240354,241195,242060,242942,243810,244735,245647,246212,245978,240304,233495,225790,217683,209816,202612,196176,190357,185007,179888,174837,169649,164770,160146,155723,151470,147349,143382,139665,136326,133450,131067,129123,127515,126096,124762,123482,122282,121175,120199,119373,118686,118119,117679,117382,117235,117242,117393,117675,118070,118563,117106,115654,114181,112646,111033
ETH,231,Ethiopia,5049888,5179022,5314218,5449008,5574584,5685352,5778816,5858991,5934870,6019089,6121119,6244047,6386399,6547496,6725119,6873558,7033391,7204920,7387954,7582479,7787865,8005314,8232930,8463271,8686403,8895570,9087177,9264309,9435341,9612743,9806022,10019479,10251494,10498572,10754328,11014292,11276682,11544460,11823067,12119943,12439916,12783541,13152463,13538851,13938552,14348366,14767307,15194660,15628108,16065128,16503631,16942139,17379475,17814045,18244139,18668050,19085025,19493524,19889842,20269407,20628579,21180593,21719797,22250211,22777937,23306848
FRO,234,Faeroe Islands,5180,5214,5245,5280,5317,5367,5424,5494,5508,5539,5585,5646,5716,5794,5879,5968,6066,6169,6250,6277,6233,6109,5922,5707,5510,5362,5270,5219,5197,5183,5167,5145,5121,5092,5048,4987,4906,4806,4695,4578,4474,4388,4316,4251,4182,4100,4005,3900,3796,3709,3647,3616,3612,3632,3667,3715,3775,3849,3937,4038,4151,4181,4211,4242,4287,4347
FLK,238,Falkland Islands (Malvinas),354,352,347,342,336,333,331,331,334,335,336,337,339,340,342,344,346,349,350,354,362,371,384,398,410,419,424,427,426,425,427,429,432,437,440,443,445,445,444,442,439,435,432,427,423,416,409,404,396,391,384,377,374,369,365,362,359,358,355,355,352,351,352,350,350,348
FJI,242,Fiji,77018,79716,82559,85455,88280,90954,93398,95360,97295,99448,101967,104961,108312,111679,114590,116734,117968,118442,118511,118678,119291,120493,122150,124007,125682,126915,127595,127840,127946,128333,129285,130918,133084,135483,137676,139350,140406,140940,141061,140952,140752,140484,140119,139692,139238,138785,138351,137948,137567,137190,136806,136413,136010,135569,135062,134458,133757,132960,132069,131089,130027,129783,129478,129163,128904,128748
FIN,246,Finland,710237,718355,727180,736120,744413,751542,757164,761491,765243,769444,774789,781469,789125,797207,804938,811748,817386,821955,825635,828752,831487,834042,836185,837155,835917,831824,824566,814622,803093,791515,781033,772000,764212,757565,751778,746625,742201,738590,735523,732629,729631,726367,722878,719244,715617,712115,708684,705291,702123,699428,697345,696004,695263,694674,693611,691625,688551,684536,679827,674806,669766,667701,665699,663907,662502,661586
FRA,250,France,8073359,8137777,8176275,8199326,8222615,8257316,8306107,8365042,8430862,8498393,8564256,8628149,8692150,8758058,8828196,8903906,8983910,9066697,9152705,9242618,9335846,9434553,9535584,9626865,9692612,9722493,9711533,9665264,9596779,9524518,9461660,9411557,9370388,9335470,9302120,9267095,9231543,9197015,9161067,9115603,9062886,9001126,8931297,8856710,8782434,8712306,8648525,8590345,8535233,8479191,8419801,8355144,8287474,8223437,8172084,8139306,8127957,8134497,8150606,8164589,8168106,8184526,8190298,8188602,8184717,8182618
GUF,254,French Guiana,5714,5982,6259,6545,6837,7062,7284,7510,7756,8046,8393,8797,9253,9755,10299,10881,11504,12158,12804,13396,13901,14310,14640,14926,15214,15534,15890,16270,16692,17169,17707,18314,18973,19631,20221,20698,21047,21313,21544,21795,22102,22478,22911,23385,23873,24356,24836,25325,25841,26411,27051,27772,28569,29453,30431,31506,32684,33966,35345,36805,38334,39189,40033,40861,41673,42465
PYF,258,French Polynesia,10913,11291,11672,12067,12490,12952,13457,13999,14366,14738,15109,15475,15838,16194,16547,16898,17255,17610,17955,18263,18525,18725,18875,19016,19201,19468,19833,20273,20730,21127,21408,21555,21590,21544,21467,21391,21322,21248,21263,21302,21356,21426,21516,21623,21743,21876,22019,22179,22372,22620,22939,23337,23810,24360,24982,25673,26433,27260,28143,29067,30018,30065,30074,30044,29980,29884
GAB,266,Gabon,122924,123146,122815,122142,121438,120920,120645,120558,120649,120872,121199,121636,122209,122929,123801,124838,126042,127407,128918,130544,132267,134069,135951,137923,140000,142191,144500,146905,149357,151797,154175,156246,158324,160458,162717,165150,167778,170580,173525,176563,179660,182820,186066,189417,192893,196513,200291,204236,208377,212746,217368,222256,227414,232861,238608,244666,251043,257741,264759,272093,279741,286648,293619,300636,307672,314710
GMB,270,Gambia,86841,88916,91454,94352,97454,100642,103922,107328,110789,114224,117604,120820,123937,127289,130290,134184,139144,144982,151181,157044,162091,166146,169425,172319,175319,178878,183070,187741,192745,197884,203033,208206,213471,218810,224198,229608,235013,240419,245857,251374,257002,262759,268633,274604,280634,286702,292787,298907,305149,311627,318418,325565,333025,340675,348345,355915,363343,370670,377972,385358,392907,404984,417476,430404,443776,457599
GEO,268,Georgia,798566,803723,807875,811072,813466,815228,816169,816346,816485,817567,820249,824791,830829,837597,843969,849057,852724,855033,855548,853829,849674,842877,833725,823130,812308,802131,792867,784340,776406,768776,761233,753788,746511,739307,732073,724714,717260,709691,701802,693332,683993,673624,662344,650586,638966,627946,617792,608421,599505,590500,580989,570831,560179,549239,538312,527602,517040,506470,495932,485532,475378,468120,461317,454707,447916,440700
DEU,276,Germany,11197908,11214045,11165664,11079811,10997011,10946883,10936534,10957107,11003041,11063649,11130514,11205051,11289346,11376118,11456059,11523072,11572245,11606460,11636951,11679760,11745791,11798464,11867737,11944655,12017404,12077580,12124724,12160179,12180008,12179488,12155401,12105481,12031210,11937344,11830285,11714164,11588555,11455484,11312255,11155483,10983753,10798074,10601741,10398825,10194451,9993124,9795354,9602797,9422205,9261754,9126779,9020056,8938979,8876641,8822969,8770197,8716568,8662887,8606958,8546772,8480925,8394612,8299746,8198831,8095571,7993017
GHA,288,Ghana,1294860,1324225,1357085,1391399,1424210,1453663,1478703,1500782,1523562,1552127,1590021,1638791,1697107,1762116,1829544,1896321,1961335,2025622,2090811,2141405,2195928,2255150,2318023,2382220,2444570,2503080,2556862,2607275,2657261,2710827,2770691,2837190,2909139,2985777,3065904,3148385,3233331,3320196,3406474,3489023,3566649,3638604,3705619,3768989,3830608,3891837,3952874,4013401,4073594,4133575,4193450,4253384,4313494,4373761,4434113,4494516,4555029,4615765,4676814,4738275,4800239,4882676,4965042,5047625,5130799,5214784
GIB,292,Gibraltar,3704,3661,3627,3604,3591,3586,3589,3603,3620,3636,3649,3655,3658,3653,3647,3639,3625,3610,3593,3583,3580,3590,3610,3632,3645,3641,3619,3580,3535,3495,3470,3461,3464,3473,3477,3468,3446,3412,3370,3325,3280,3236,3190,3147,3106,3068,3035,3006,2981,2959,2937,2919,2901,2885,2871,2860,2851,2842,2836,2828,2821,2798,2775,2748,2719,2688
GRC,300,Greece,1444513,1444501,1440759,1440194,1442050,1445636,1451176,1458472,1465939,1471557,1473974,1472948,1469110,1463085,1455793,1448084,1439416,1430106,1422833,1421130,1427294,1442545,1465492,1492588,1518798,1540420,1556247,1567098,1573757,1577784,1580346,1581564,1581629,1580070,1576694,1571384,1564059,1554874,1544198,1532537,1520231,1507591,1494478,1480231,1463909,1444907,1422957,1398513,1372587,1346585,1321542,1297937,1275576,1254018,1232526,1210638,1188294,1165929,1144169,1123857,1105630,1090527,1077417,1066389,1057473,1050635
GRL,304,Greenland,5735,5871,5983,6075,6145,6194,6220,6225,6229,6257,6326,6438,6588,6759,6936,7103,7260,7406,7531,7623,7675,7683,7651,7592,7522,7451,7383,7315,7251,7189,7129,7073,7019,6961,6895,6815,6720,6614,6495,6367,6233,6096,5956,5820,5688,5559,5432,5310,5205,5137,5115,5146,5225,5335,5456,5573,5680,5778,5868,5955,6041,6029,6009,5974,5929,5871
GRD,308,Grenada,6146,6115,6131,6166,6180,6146,6046,5896,5748,5668,5702,5871,6149,6463,6716,6844,6820,6679,6480,6313,6238,6273,6395,6572,6748,6887,6980,7041,7086,7142,7225,7339,7477,7632,7794,7953,8110,8269,8425,8575,8718,8849,8972,9101,9253,9442,9674,9941,10234,10533,10824,11103,11370,11622,11856,12074,12271,12443,12589,12707,12798,12668,12513,12333,12123,11882
GLP,312,Guadeloupe,30473,30289,29951,29578,29327,29307,29543,29990,30600,31299,32034,32791,33580,34405,35276,36190,37150,38129,39079,39936,40666,41250,41709,42092,42466,42874,43322,43787,44232,44609,44931,45196,45413,45575,45675,45707,45669,45562,45393,45176,44922,44634,44318,43989,43671,43382,43135,42938,42795,42707,42676,42702,42796,42988,43317,43808,44475,45302,46256,47286,48354,48550,48730,48874,48957,48965
GUM,316,Guam,11317,11758,12238,12758,13313,13899,14520,15170,15822,16448,17023,17344,17606,17828,18034,18246,18458,18667,18893,19157,19471,19828,20235,20656,21044,21366,21614,21794,21900,21928,21883,21760,21567,21327,21069,20818,20576,20347,20144,19983,19876,19829,19839,19892,19970,20060,20160,20273,20400,20544,20703,20877,21066,21273,21511,21780,22085,22421,22780,23152,23531,23798,24055,24297,24519,24718
GTM,320,Guatemala,811536,834330,857347,880203,899967,918667,936147,952606,968523,984579,1001292,1018908,1037394,1056682,1076603,1097103,1118146,1139990,1163211,1188543,1216469,1247272,1280733,1316209,1352771,1389785,1427046,1464828,1503572,1543942,1586434,1631206,1678150,1727128,1777619,1829441,1882480,1936764,1992413,2049604,2108405,2168763,2230425,2293040,2356153,2419404,2482604,2545634,2608310,2670440,2731854,2792396,2851914,2910214,2967093,3022415,3076078,3128067,3178338,3226880,3273654,3346214,3418284,3490067,3561860,3633825
GIN,324,Guinea,809046,817246,823749,828754,832629,835776,838196,840196,842900,847736,855770,867787,883753,902942,924169,946742,969668,993603,1021381,1056879,1102441,1159541,1226124,1296694,1363650,1421551,1468623,1506537,1537570,1565474,1582655,1599554,1615886,1633362,1653922,1678913,1708677,1743066,1780956,1820635,1860840,1901278,1942227,1983677,2025736,2068431,2111584,2154931,2198292,2241469,2284268,2326494,2367960,2408453,2447783,2485729,2522058,2556533,2588914,2618962,2646399,2716200,2786531,2857309,2928441,2999843
GNB,624,Guinea-Bissau,106109,108399,110910,113459,115813,117811,119381,120592,121594,122611,123816,125255,126899,128764,130836,133113,135610,138347,141323,144532,147971,151618,155465,159524,163805,168307,173077,178079,183122,187956,192425,196432,200086,203688,207658,212297,217724,221895,226526,231370,236248,241058,245858,250809,256149,262020,268538,275556,282633,289168,294757,299198,302684,305671,308816,312585,317130,322281,327783,333249,338404,346505,354462,362370,370392,378638
GUY,328,Guyana,79929,81556,83367,85312,87312,89302,91275,93231,95134,96946,98642,100179,101558,102849,104148,105516,107011,108589,110073,111227,111896,111988,111607,111012,110583,110580,111109,112069,113281,114457,115396,116046,116477,116758,117001,117290,117634,118006,118412,118859,119323,119802,120300,120787,121215,121552,121775,121894,121949,122007,122113,122277,122473,122665,122809,122874,122867,122799,122650,122391,122006,122324,122520,122605,122599,122520
HTI,332,Haiti,579403,589382,602664,616700,631640,647566,664543,682482,701112,720058,739046,757990,776952,796002,815269,834858,854816,875159,895928,917174,938970,961305,984291,1008291,1033790,1061141,1090534,1121881,1154909,1189174,1224304,1260214,1296921,1334240,1371974,1409973,1448049,1486423,1524086,1561375,1598516,1635535,1672229,1708319,1743408,1777191,1809484,1840255,1869538,1897428,1923957,1949043,1972488,1993998,2013214,2029820,2043766,2054982,2063087,2067645,2068400,2087402,2103965,2118649,2132245,2145347
HND,340,Honduras,341768,350256,359609,369883,381101,392587,405039,418466,432743,447691,463174,479130,495581,512583,530236,548592,567653,587346,607572,628201,649128,670351,691865,713571,735346,757121,778859,800630,822608,845028,868082,891806,916206,941407,967548,994719,1022783,1051523,1080861,1110677,1140843,1171314,1201958,1232453,1262401,1291504,1319604,1346701,1372839,1398125,1422621,1446316,1469111,1490859,1511378,1530520,1548218,1564494,1579419,1593106,1605638,1626741,1646908,1666193,1684663,1702362
HUN,348,Hungary,1931149,1941323,1943147,1939405,1934459,1931443,1931256,1932726,1934463,1934303,1930785,1900739,1868587,1835609,1803417,1773090,1744722,1717998,1692985,1669674,1647959,1627640,1608407,1589899,1571752,1553637,1535728,1517775,1498635,1476909,1451813,1423152,1391719,1358944,1326663,1296185,1267659,1240866,1216183,1193965,1174323,1157057,1144083,1134046,1125194,1116246,1106669,1096593,1086237,1076077,1066438,1057490,1048967,1040307,1030746,1019852,1007249,993461,980048,969191,962478,947975,936669,927632,919391,910867
ISL,352,Iceland,28294,28811,29377,29974,30575,30895,31184,31450,31714,32009,32357,32756,33196,33669,34171,34683,35213,35756,36282,36755,37151,37456,37679,37839,37967,38077,38181,38270,38330,38348,38316,38231,38102,37952,37809,37692,37608,37546,37485,37397,37266,37095,36924,36774,36670,36631,36662,36758,36903,37081,37276,37485,37712,37957,38225,38518,38837,39182,39554,39951,40378,40434,40475,40505,40531,40561
IND,356,India,103740475,106280277,108538159,110913590,113375263,115898691,118474963,121104498,123782634,126505990,129270503,132072918,134908572,137771497,140656535,143562643,146486430,149433537,152423093,155479506,158618681,161838516,165130086,168492327,171923206,175416612,178974164,182581782,186198125,189769365,193255583,196636207,199916132,203113524,206261021,209383345,212485610,215558132,218593585,221512038,224312710,226990173,229541130,231954335,234216394,236315243,238236030,239972014,241528380,242916132,244138814,245195829,246068023,246718671,247101421,247182473,246946354,246396359,245540178,244391522,242957114,244304685,245522852,246608411,247555661,248363231
IDN,360,Indonesia,18394713,18813422,19235637,19681933,20151361,20643302,21157875,21695421,22255824,22838942,23444558,24072592,24722662,25393852,26084954,26794939,27523501,28270443,29035063,29816677,30614934,31424562,32244753,33084462,33956110,34865587,35819941,36807976,37795391,38736144,39598342,40366466,41051949,41682906,42301154,42935998,43596834,44271600,44942127,45580852,46167929,46676022,47113839,47489836,47817359,48106393,48358161,48570218,48744748,48884043,48989590,49060817,49097175,49099441,49068579,49004402,48909767,48780930,48603883,48360153,48037944,48202558,48329061,48435827,48548816,48686137
IRN,364,Iran (Islamic Republic of),4647551,4775155,4908201,5047548,5194366,5349695,5513844,5687198,5870970,6066591,6275130,6496044,6729068,6975676,7237739,7515877,7813833,8075099,8338810,8589760,8818928,9020441,9201918,9383974,9594323,9851446,10159515,10509595,10890254,11284663,11679378,12070392,12457007,12833524,13195067,13538401,13861989,14164843,14445547,14702471,14934120,15140747,15301679,15434077,15536172,15607550,15646905,15657083,15646611,15626471,15603871,15579967,15551005,15512806,15459391,15385810,15292611,15179168,15038525,14862572,14647175,14512808,14344966,14151854,13944806,13733505
IRQ,368,Iraq,1411978,1452604,1496207,1542573,1591417,1642516,1695599,1750631,1798937,1849261,1901699,1956907,2014476,2072281,2127570,2178846,2225229,2268465,2312874,2364202,2426450,2500396,2584661,2678285,2779592,2886981,3000836,3120470,3241939,3360202,3471789,3575724,3673302,3766281,3857426,3949155,4040912,4133126,4228095,4331891,4447894,4577950,4719599,4866586,5010358,5144895,5267988,5381356,5487734,5591453,5695523,5800648,5905373,6008056,6106295,6198580,6284600,6365464,6442673,6518223,6593576,6746753,6901658,7057553,7213334,7368180
IRL,372,Ireland,335106,338799,342472,347125,352625,358845,365745,373237,381078,388971,396678,404143,411344,418135,424362,429949,434822,439078,443033,447107,451614,456700,462322,468380,474679,481109,487538,494071,501085,509087,518381,529030,540737,552986,565083,576467,587029,596744,605274,612280,617577,621032,622763,623546,623988,624505,625233,626050,626798,627216,627122,626489,625422,624040,622521,620999,619661,618539,617446,616090,614349,609454,603992,598839,595173,593805
ISR,376,Israel,433916,449010,465869,480325,494376,507253,518804,529274,538831,547766,556321,564674,572904,581053,589133,597272,605084,612869,622201,635115,652821,675952,703445,732741,760379,783906,802719,817532,828877,837735,844955,850237,853645,856796,861749,869814,881821,897015,913211,927373,936219,940571,941384,940266,939515,940721,944373,949887,956476,962929,968418,972781,976434,979836,983666,988441,994244,1000998,1008851,1017958,1028421,1040157,1052883,1066356,1080225,1094226
ITA,380,Italy,8502709,8529190,8473068,8401149,8327099,8261128,8205418,8157317,8116434,8081017,8049488,8022418,8000170,7980528,7960645,7938671,7912763,7883611,7854977,7832272,7818934,7817904,7826804,7837541,7838909,7823607,7787969,7736256,7678616,7629202,7597640,7586115,7590033,7603663,7618425,7627296,7629505,7624664,7606701,7568540,7505580,7420671,7315383,7195170,7068076,6940170,6813397,6686984,6561123,6435329,6309752,6185103,6063415,5947751,5841851,5748535,5669149,5603701,5551924,5512952,5486038,5437905,5398152,5365624,5338821,5316458
JAM,388,Jamaica,208666,207081,206708,207512,209400,212260,216096,220795,225994,231238,236193,240738,244901,248693,252178,255415,258362,260999,263433,265799,268180,270615,273044,275335,277313,278860,279915,280527,280819,280963,281066,281184,281240,281050,280365,279026,276986,274341,271249,268118,265411,263172,261363,259949,258873,258100,257628,257499,257771,258535,259863,261797,264343,267509,271271,275593,280465,285863,291707,297904,304387,304375,304127,303679,303103,302439
JPN,392,Japan,18471976,18682381,18876243,19043097,19171050,19252734,19286300,19275724,19227157,19148933,19047583,18924511,18780854,18622208,18455060,18284392,18110959,17934991,17759811,17589027,17424235,17269370,17121831,16968947,16793714,16585398,16338325,16059654,15767527,15487596,15238523,15027098,14848173,14693830,14550827,14408987,14266335,14124985,13983146,13839167,13691072,13520776,13354848,13190658,13025769,12858143,12688390,12515521,12334357,12138316,11923895,11687810,11434612,11178563,10939261,10731054,10559468,10421631,10313101,10225881,10153923,10011227,9878020,9752962,9634591,9521852
JOR,400,Jordan,253999,264465,272480,278223,282090,284496,285200,284425,283593,284565,288624,296730,308476,322134,335199,346086,353612,358845,365070,376800,396887,426754,464477,505527,543681,574672,597361,613517,625422,636503,649387,664241,680738,700344,724705,754793,790668,831502,876132,922955,970573,1019196,1067991,1112851,1148638,1172137,1181664,1179218,1169808,1160345,1155680,1157237,1163533,1172880,1182548,1190597,1196863,1202120,1206485,1210228,1213566,1225669,1237577,1249784,1262937,1277471
KAZ,398,Kazakhstan,2017984,2056895,2096365,2135508,2173076,2208369,2240296,2269531,2299192,2333569,2359668,2394022,2434804,2477051,2513722,2539781,2553305,2555927,2550554,2541830,2533282,2526555,2520869,2514493,2504479,2488897,2466768,2439764,2411680,2387761,2371710,2364580,2364998,2371267,2380725,2391263,2402682,2415046,2426803,2436090,2439501,2439273,2435741,2430048,2424000,2419005,2415653,2413751,2412959,2412588,2412161,2411364,2410514,2410457,2412303,2416687,2423725,2432769,2442843,2452849,2462230,2467777,2472298,2475401,2476630,2475805
KEN,404,Kenya,1449075,1500276,1555431,1614328,1676624,1742088,1810782,1882882,1958409,2037405,2119971,2206297,2296639,2391269,2490502,2594702,2703310,2816568,2936522,3065871,3185814,3315861,3454215,3596273,3735910,3868813,3993621,4111638,4224604,4335338,4446036,4557057,4668173,4780353,4894690,5012085,5132969,5257553,5386132,5515489,5648671,5785896,5926908,6070517,6215134,6359644,6503543,6647201,6791402,6937321,7085773,7236803,7390047,7545442,7702900,7862359,8023914,8187492,8352679,8518951,8685960,8897279,9109563,9322536,9535878,9749489
KIR,296,Kiribati,5935,6091,6257,6432,6630,6842,7071,7314,7572,7845,8132,8432,8738,9057,9391,9737,10103,10483,10854,11190,11471,11686,11848,11978,12114,12279,12482,12719,12983,13270,13572,13889,14224,14575,14937,15309,15689,16075,16466,16862,17250,17630,17997,18351,18682,18987,19261,19504,19733,19965,20213,20481,20760,21037,21285,21487,21638,21739,21795,21807,21782,21978,22153,22312,22460,22601
KWT,414,Kuwait,109115,118096,127263,136318,144872,152712,159673,166003,172362,179638,188422,198357,209098,221139,235088,251011,269889,290707,309329,320487,321056,309539,288437,263445,242110,229456,227056,232846,243692,255095,264016,269776,273634,276850,281279,288106,297046,307927,320246,333328,346670,360305,374237,387955,400837,412490,422692,431639,439863,448110,456881,466298,476120,486035,495573,504392,512466,519890,526604,532563,537802,539636,540552,541001,541576,542734
KGZ,417,Kyrgyzstan,444071,452620,460485,468114,476175,485174,495100,505837,517659,530884,542657,556038,570754,585754,599639,611475,620953,628527,634965,641371,648557,656505,665037,674603,685717,698633,713697,730516,747690,763354,776228,785810,792598,797549,802049,807082,812846,819004,825351,831564,836944,842097,847183,852359,857827,863710,870202,877223,884286,890700,896012,899976,902874,905388,908470,912756,918356,924959,932251,939771,947139,956723,966098,974815,982302,988207
LAO,418,Lao People's Democratic Republic,415340,426864,439506,451743,461516,467499,468991,466839,463170,460988,462474,468365,478077,490862,505431,520822,536835,553750,571603,590538,610590,631807,653935,676358,698283,719172,738421,756672,774437,792467,811347,831173,851909,873866,897371,922633,949407,977451,1006458,1035997,1065705,1095436,1125075,1154321,1182859,1210456,1237040,1262572,1286886,1309779,1331079,1350612,1368371,1384528,1399360,1413014,1425394,1436302,1445667,1453438,1459541,1481279,1502395,1522582,1541441,1558665
LVA,428,Latvia,402978,404495,404847,404422,403818,403478,403494,403754,404255,404948,405782,406715,407738,408846,410038,411263,412662,414104,414969,414430,406997,397428,386152,374190,362877,353100,345118,338558,332864,327236,321118,314451,307419,300008,292246,284186,275753,267007,258283,250010,242478,235791,229903,224865,220349,216131,212191,208595,205317,202330,199603,197060,194681,192560,190849,189644,188976,188769,188903,189198,189524,187187,184721,182103,179313,176357
