Country letter code,ISO code,Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
AZE,31,Azerbaijan,738212,753380,768035,782752,798398,815551,834573,854953,877086,901312,927616,953958,982122,1010225,1035627,1056787,1074273,1089536,1104888,1122805,1143743,1167349,1194276,1223612,1254075,1284870,1315677,1347125,1378921,1410301,1440537,1465480,1488575,1511104,1533999,1557022,1575217,1593176,1610756,1626972,1641377,1655812,1664126,1666304,1666266,1666801,1660915,1661682,1664593,1663930,1657525,1654811,1645363,1632058,1619000,1607780,1597609,1587837,1577364,1563754,1545476,1534158,1519132,1501007,1481035,1460112
BHS,44,Bahamas,21559,22185,22673,23086,23506,23972,24195,24517,24926,25382,25869,26596,27250,27855,28460,29078,29548,30085,30658,31210,31714,32352,32894,33362,33800,34223,34575,34945,35323,35681,36009,36407,36784,37129,37453,37763,38061,38330,38603,38871,39082,39006,39011,39073,39197,39402,39676,40032,40454,40918,41403,41911,42422,42970,43604,44353,45185,46131,47152,48186,49195,49207,49122,48972,48807,48655
BHR,48,Bahrain,29410,30542,31696,33090,34646,36324,38331,40583,43015,45531,48048,51045,53913,56702,59451,62169,63336,64700,66194,67811,69594,70906,72536,74552,76917,79437,81229,83548,86146,88736,91159,93884,96256,98827,102292,107012,115393,125213,135700,145691,154232,155640,155235,153585,151622,150090,150151,150609,151376,152199,152921,153854,154567,155233,156093,157226,158148,159396,160779,162002,162918,162648,162026,161172,160299,159540
BGD,50,Bangladesh,12125896,12327975,12508452,12684005,12871265,13053264,13303669,13605542,13952025,14339310,14762103,15134379,15563903,16036839,16533839,17047770,17570784,18113419,18673927,19254264,19852457,20406850,20974331,21558473,22164536,22797457,23445758,24117077,24812997,25537367,26288844,27037700,27814784,28600576,29370215,30109194,30798778,31464631,32102724,32711374,33292576,33870350,34387634,34856401,35291856,35701587,36071266,36415211,36729070,37009066,37253803,37466633,37648312,37780900,37841672,37816647,37723732,37541440,37273401,36927489,36507012,36621962,36702558,36751908,36774266,36773027
BRB,52,Barbados,26654,27292,27969,28632,29289,29962,30245,30667,31130,31562,31954,32925,33814,34668,35544,36453,37212,38019,38842,39646,40413,41250,42011,42682,43244,43690,43968,44125,44150,44031,43782,43789,43700,43545,43353,43140,42858,42553,42221,41852,41445,41064,40646,40209,39787,39394,39068,38777,38504,38218,37900,37611,37291,36955,36633,36340,36124,35935,35760,35569,35346,35182,34985,34766,34554,34358
BLR,112,Belarus,1638872,1655348,1664321,1667692,1668962,1670475,1670568,1672677,1676293,1680692,1674716,1673241,1673703,1674154,1672264,1666725,1658078,1645758,1631904,1620311,1613498,1613016,1617461,1624011,1628499,1628627,1629095,1624205,1615500,1605244,1594524,1581937,1568365,1553646,1537454,1519828,1499011,1478189,1457389,1436710,1415040,1394402,1374104,1353813,1333878,1314864,1297131,1281899,1267872,1253183,1237005,1221245,1203246,1184381,1166638,1150944,1135428,1121714,1109251,1097141,1084974,1070035,1054787,1039214,1023217,1006672
BEL,56,Belgium,1645365,1642052,1630942,1615866,1602565,1594323,1588798,1587785,1589768,1592301,1594014,1594163,1593893,1593563,1593810,1594911,1596072,1597819,1600221,1603344,1607108,1611576,1616895,1621292,1622302,1618424,1608068,1593316,1576181,1559438,1544820,1535223,1527249,1520437,1513879,1506833,1495965,1484948,1474012,1463202,1452361,1439489,1424818,1410981,1397791,1385453,1371662,1357999,1345061,1333451,1323300,1313292,1304474,1296853,1290392,1285167,1281489,1278899,1277444,1277138,1277934,1275344,1272577,1269894,1267505,1265443
BLZ,84,Belize,16781,16836,16853,16849,16844,16858,17145,17412,17665,17918,18193,18832,19542,20313,21149,22035,22836,23703,24591,25438,26220,26972,27593,28159,28776,29488,30652,32058,33592,35134,36623,38117,39559,40990,42468,44031,45319,46607,47860,49034,50123,51600,52943,54253,55589,56968,58204,59501,60822,62109,63338,64467,65552,66599,67623,68632,69591,70531,71448,72325,73151,74225,75228,76172,77076,77946
BEN,204,Benin,554011,562724,572600,583610,595755,609058,621839,636109,651733,668562,682710,696137,710809,726577,743313,760970,777594,795451,814688,835494,857967,882953,910120,938772,968143,997736,1021846,1046330,1071653,1098462,1127230,1159392,1193853,1230194,1267920,1306604,1342577,1379810,1418023,1456940,1496441,1533823,1571831,1611038,1650903,1691456,1731378,1771899,1812956,1854513,1896467,1936887,1977849,2018957,2059801,2100076,2138561,2176374,2213166,2248629,2282436,2343748,2405978,2468962,2532544,2596598
BMU,60,Bermuda,7749,7874,7973,8064,8170,8303,8428,8590,8774,8960,9139,9258,9361,9451,9538,9626,9703,9781,9851,9906,9937,9953,9950,9927,9884,9819,9741,9640,9523,9402,9284,9167,9054,8933,8795,8634,8442,8222,7984,7732,7473,7208,6942,6684,6443,6228,6073,5946,5842,5751,5668,5615,5573,5542,5526,5526,5549,5586,5633,5684,5737,5741,5739,5730,5714,5690
BTN,64,Bhutan,45197,46424,47774,49232,50781,52400,53699,55088,56540,58036,59567,60568,61595,62713,63996,65476,67235,69185,71076,72613,73632,72916,71685,70319,69304,68996,70482,72774,75689,78963,82377,85896,89553,93322,97174,101088,105596,110148,114749,119448,124249,128754,133293,137724,141844,145541,149075,152038,154563,156871,159060,160801,162468,163953,165087,165790,166214,166198,165758,164943,163767,164354,164756,164947,164873,164511
BOL,68,Bolivia (Plurinational State of),609816,623239,637848,653373,669546,686207,701598,714003,726779,740097,754068,766448,779593,793317,807431,821877,835926,850424,865261,880302,895498,911899,928460,945480,963416,982480,1002459,1023671,1045566,1067406,1088768,1108923,1128897,1148744,1168712,1188994,1210115,1231434,1252953,1274701,1296658,1319403,1342523,1365409,1388496,1411584,1435713,1459666,1483498,1507391,1531396,1555403,1579883,1604441,1628550,1651948,1675639,1698734,1721336,1743668,1765833,1787886,1809021,1829282,1848734,1867446
BIH,70,Bosnia and Hercegovina,643958,656763,667852,677686,687193,696774,704817,713337,722133,730646,738706,749927,755978,761262,766904,773226,777463,782296,785157,783066,774740,762196,743080,720333,697784,678076,666249,657659,651539,646780,642410,637546,634771,632963,630741,627475,625638,621837,616772,611488,606387,599763,594108,588813,583656,578674,575138,571799,568244,563956,558541,552178,544497,535871,526845,517754,508816,499809,490334,479798,467896,458154,447186,435506,423804,412498
BWA,72,Botswana,70557,72586,74558,76730,79154,81850,84924,88305,91910,95623,99368,102651,105985,109380,112871,116497,120220,124139,128251,132561,137073,141718,146550,151572,156786,162158,166596,171175,175828,180442,184955,188260,191502,194867,198576,202778,208428,214404,220647,227040,233466,239867,246296,252810,259421,266131,272265,278691,285285,291869,298380,305204,311818,318335,324908,331583,338007,344504,351086,357710,364370,367133,369681,372088,374472,376902
BRA,76,Brazil,12512755,12890085,13270566,13660271,14068047,14496253,14920109,15360021,15819776,16303269,16812047,17322193,17864228,18424445,18987541,19545398,20085704,20630032,21176497,21725346,22278097,22849923,23415308,23979274,24544824,25110280,25665335,26206236,26737505,27264913,27789165,28265687,28751319,29229255,29682238,30103508,30502579,30883246,31236732,31550133,31816640,32082807,32273290,32417996,32557682,32711409,32830537,32975239,33127268,33259105,33358631,33460947,33535545,33579202,33590919,33567548,33520879,33439106,33322131,33168793,32980367,32840770,32661160,32453408,32234186,32013879
VGB,92,British Virgin Islands,1038,1054,1079,1110,1141,1170,1203,1230,1256,1285,1324,1382,1456,1543,1643,1752,1864,1989,2119,2245,2360,2421,2469,2506,2541,2578,2601,2628,2659,2692,2726,2761,2799,2838,2881,2929,2985,3051,3120,3188,3248,3281,3301,3317,3338,3368,3397,3438,3485,3534,3583,3623,3659,3694,3729,3764,3803,3842,3880,3915,3946,3938,3923,3906,3887,3868
BRN,96,Brunei Darussalam,18306,19309,20250,21217,22183,23129,23646,24325,25189,26248,27494,28483,29516,30568,31616,32646,33980,35422,36988,38696,40537,41650,42903,44316,45928,47769,49465,51404,53506,55624,57631,58330,58813,59185,59569,60061,60573,61112,61662,62197,62722,63679,64473,65149,65769,66347,66649,66994,67324,67565,67698,67921,68008,68001,67956,67895,67789,67660,67506,67309,67063,66790,66472,66116,65744,65363
BGR,100,Bulgaria,1624728,1632151,1632744,1628418,1622514,1617126,1611752,1606547,1601457,1596283,1591058,1587021,1583909,1581339,1578862,1576244,1561813,1545984,1529144,1511920,1494486,1472370,1450852,1429240,1406294,1381681,1359810,1336175,1311623,1287590,1264700,1239816,1215788,1192237,1168576,1144693,1122072,1099081,1075842,1052906,1030727,1012310,994935,978917,962687,945562,929347,911779,893263,874440,855422,835463,815397,795350,775489,756076,737801,719997,702908,686871,672054,658015,644925,632411,619786,606670
BFA,854,Burkina Faso,1088918,1102151,1118000,1136016,1155583,1176446,1191391,1207714,1225814,1246394,1269811,1290658,1315455,1343222,1372856,1403916,1433637,1465852,1500307,1536902,1575673,1613617,1653958,1696990,1743189,1792812,1840416,1892211,1947518,2005573,2066067,2123475,2184491,2248950,2316562,2386939,2454258,2524971,2598378,2674343,2753039,2829876,2909378,2990740,3072858,3155179,3238214,3320289,3402236,3485387,3570099,3652344,3735656,3818770,3899954,3978105,4051837,4121796,4186954,4246363,4299073,4433084,4570175,4710165,4852975,4998572
BDI,108,Burundi,498426,501775,505356,509942,516391,525246,538377,554359,572754,592960,612977,628054,644694,662419,680805,699668,716416,733851,751550,769227,786692,795317,803691,811703,819203,826360,828553,830584,833917,840509,851803,882360,918848,960539,1006100,1054265,1101834,1152004,1204231,1258083,1313194,1362101,1412324,1463094,1513461,1563017,1610370,1656949,1703177,1749978,1797815,1843247,1890231,1938411,1987148,2036102,2084827,2133272,2181575,2229908,2278110,2347020,2418153,2491538,2567087,2644726
CPV,132,Cabo Verde,25901,26009,25917,25724,25541,25414,25317,25312,25384,25527,25748,26455,27260,28109,28957,29771,30721,31546,32273,32960,33650,34680,35888,37234,38656,40095,41384,42656,43879,45024,46084,47315,48447,49504,50508,51480,52905,54240,55517,56801,58133,59165,60356,61646,62963,64278,65737,67202,68668,70148,71639,73191,74749,76303,77833,79328,80845,82316,83736,85103,86413,87128,87725,88198,88535,88735
KHM,116,Cambodia,1013964,1036481,1061579,1085875,1106250,1121352,1122175,1119401,1116864,1117590,1123311,1146623,1170734,1196280,1225865,1259626,1277163,1306237,1342102,1378063,1411794,1458272,1502566,1545390,1589336,1635089,1678645,1722559,1767555,1814213,1863897,1917788,1970955,2024482,2079049,2133934,2196046,2258433,2319263,2377052,2431021,2474061,2517878,2560977,2602704,2643124,2685857,2727880,2767948,2804306,2835888,2863607,2884999,2904103,2927152,2957515,2997459,3045230,3091942,3123370,3130979,3141216,3128505,3103596,3083832,3079914
CMR,120,Cameroon,1146536,1167827,1191017,1216027,1242928,1271784,1298687,1324140,1351796,1381293,1412435,1442026,1473383,1506712,1542454,1580830,1616766,1656516,1699377,1744519,1791610,1836681,1884534,1935080,1988424,2044620,2097746,2154079,2213673,2276454,2342310,2404042,2468754,2536731,2608404,2683930,2755648,2832320,2913079,2996765,3082781,3166272,3252121,3339222,3427507,3516832,3601049,3686360,3772609,3859590,3947074,4029466,4112016,4194576,4277089,4359397,4437006,4514315,4590485,4664495,4735619,4861751,4989422,5118376,5248426,5379445
CAN,124,Canada,3618486,3714123,3775405,3835404,3899010,3968133,4022584,4082336,4145547,4209021,4271352,4330821,4388753,4445667,4502500,4559371,4622864,4686907,4748691,4804239,4850757,4885878,4909949,4923601,4927824,4923227,4909326,4888396,4861880,4831672,4799521,4769598,4737245,4703334,4668374,4632180,4595183,4558761,4522873,4486869,4450181,4399209,4344244,4295189,4255088,4226841,4209586,4201529,4201344,4206344,4214268,4222017,4232154,4244700,4259628,4276958,4297012,4318807,4342341,4367560,4394481,4392157,4386618,4379312,4372281,4366855
CYM,136,Cayman Islands,1148,1228,1321,1428,1547,1674,1803,1948,2103,2258,2390,2467,2527,2586,2658,2758,3030,3354,3722,4113,4509,4761,5009,5260,5536,5851,6223,6654,7106,7528,7888,8071,8171,8221,8265,8327,8357,8407,8460,8493,8489,8424,8328,8211,8092,7975,7849,7728,7614,7513,7425,7340,7272,7224,7210,7237,7294,7393,7524,7671,7824,7895,7961,8024,8088,8153
CAF,140,Central African Republic,319795,323684,327930,332608,337846,343756,349912,356971,364978,373993,384026,395400,408046,421455,435027,448367,457375,466161,475184,485098,496389,509960,525321,542074,559646,577600,592964,608517,624277,640347,656741,668137,680194,692995,706616,721260,737493,755159,774147,794328,815562,837146,858948,880732,902779,925152,945768,966960,988048,1008172,1026867,1043213,1058195,1071759,1083987,1094844,1103093,1109816,1114907,1118278,1119890,1142183,1164429,1186618,1208759,1230839
TCD,148,Chad,650435,662877,676977,692020,707335,722556,733500,744910,756964,769900,783969,796304,810547,826847,845463,866499,887388,911587,938451,967252,997596,1025668,1055753,1088114,1123159,1161128,1197368,1237411,1280984,1327648,1377138,1425336,1477402,1532709,1590771,1651444,1708530,1768461,1831970,1899932,1972898,2044566,2119994,2198323,2278561,2359951,2436396,2513972,2591994,2669843,2746988,2817739,2887581,2955879,3022015,3085481,3140780,3193206,3242210,3287256,3327874,3440369,3556437,3675889,3798541,3924232
CHL,152,Chile,1216446,1236586,1258790,1282370,1306395,1330434,1356233,1381387,1406515,1432474,1459571,1487167,1515494,1544674,1574723,1605577,1636981,1669298,1701675,1733255,1763488,1790865,1817917,1844000,1868467,1891095,1913840,1934091,1952129,1968266,1982490,1994283,2003904,2011839,2018595,2024474,2029278,2033418,2036721,2039048,2040336,2041067,2041992,2044129,2046932,2050093,2054107,2058586,2064121,2071689,2081896,2094916,2110438,2128119,2147395,2167832,2189616,2212204,2235465,2259171,2283070,2282326,2279865,2275137,2267471,2256617
CHN,156,China,117706437,120815678,124580382,128747040,133041134,137321693,141855000,146362078,150889548,155464897,160085038,164980781,169601842,173791035,178397155,183576676,188851796,194552116,200558910,206821915,213319073,219082056,225727334,232625586,238914404,244163912,250005372,254440326,257801385,260556111,262863733,264259264,264870477,265152907,265661326,266736178,267901388,269812267,272048916,274055480,275512047,276854878,277768301,278086935,277314065,275579653,272954587,269495546,265370032,260808585,255998163,251218667,246157231,241048720,236195533,231758840,227919568,224386683,221015440,217555857,213800750,212016196,210180229,208047633,205262005,201635263
HKG,344,"China, Hong Kong SAR",545947,548904,547813,548666,552650,560169,575661,596097,619647,643776,667041,691204,713911,735716,757992,781574,801450,823544,847242,871373,895093,921750,948126,975122,1003982,1035101,1063135,1093188,1122187,1145703,1160608,1156311,1145487,1131224,1116763,1103631,1089522,1076480,1064049,1051596,1039048,1022245,999704,976962,955808,937021,917533,901665,888009,874849,861574,850743,839171,827435,816318,805994,795454,785361,775652,766044,756525,738307,719506,700999,683998,669234
MAC,446,"China, Macao SAR",26493,26922,27120,27145,27107,27096,26813,26628,26629,26912,27536,29015,31019,33496,36402,39711,42997,46823,51052,55430,59727,62832,65728,68350,70698,72831,74585,76045,77324,78560,79821,80918,82003,83084,84266,85702,86905,88369,90032,91685,93127,94014,94614,95011,95400,95915,96167,96572,97037,97417,97650,97785,97693,97492,97343,97315,97189,97160,97094,96764,96043,94877,93332,91519,89610,87730
COL,170,Colombia,2525676,2604920,2691459,2784145,2874444,2967263,3071815,3173644,3276554,3386159,3504678,3619752,3745910,3879385,4014652,4149095,4286713,4424552,4561357,4696654,4829848,4964860,5095049,5221212,5344512,5465395,5580751,5695127,5807356,5915305,6017991,6122220,6218604,6309135,6397279,6484421,6564607,6645746,6724669,6796626,6859350,6919941,6972223,7017036,7056097,7090329,7121727,7147374,7169901,7193002,7218924,7250958,7286625,7322657,7354020,7377582,7400387,7415707,7423962,7426188,7422986,7410813,7390740,7363810,7331498,7294864
COM,174,Comoros,33643,34134,34706,35400,36268,37329,38594,40082,41708,43369,45004,46302,47554,48800,50094,51474,52834,54315,55897,57562,59304,61074,62942,64912,66992,69185,71444,73791,76211,78686,81197,83602,86054,88554,91105,93715,96302,98961,101687,104474,107317,110127,113012,115907,118807,121705,124502,127326,130152,132952,135714,138430,141084,143676,146206,148661,150979,153212,155338,157334,159174,162697,166240,169796,173370,176963
COG,178,Congo,173129,177451,182107,187052,192232,197610,202368,207351,212606,218207,224219,230460,237275,244581,252274,260277,268120,276306,284887,293939,303501,312884,322806,333284,344305,355844,367386,379478,391953,404588,417224,427323,437375,447721,458784,470853,485433,501259,517859,534638,551171,564507,577168,589387,601685,614464,628716,643763,659367,675161,690930,707556,723939,740286,756873,773794,790674,807875,825311,842866,860499,885997,912343,939438,967203,995580
COK,184,Cook Islands,2421,2447,2421,2383,2336,2283,2210,2120,2022,1926,1841,1849,1876,1914,1948,1967,1944,1909,1871,1842,1823,1817,1827,1844,1852,1843,1816,1770,1722,1682,1661,1657,1673,1700,1727,1750,1771,1785,1795,1805,1819,1833,1851,1870,1886,1899,1912,1923,1934,1946,1962,1982,2004,2032,2066,2108,2160,2219,2284,2352,2421,2447,2472,2493,2508,2518
CRI,188,Costa Rica,236396,244828,253546,262648,270427,278505,287228,295846,304618,313898,323801,333167,343429,354158,364792,375053,385018,394740,404284,413853,423570,434191,445078,456152,467230,478159,488848,499315,509593,519794,529919,538465,546895,555014,562491,569150,575397,580552,584839,588611,592015,594110,596134,597945,599335,600512,602529,604673,607142,610270,614199,618964,624513,630562,636624,642388,648345,653960,659238,664263,669082,668362,666782,664423,661384,657746
CIV,384,C™te d'Ivoire,884073,916623,952587,991711,1033660,1078078,1119848,1164948,1213297,1257754,1304732,1348333,1395716,1446182,1498860,1553201,1602608,1653535,1706706,1763107,1823084,1882123,1944785,2010235,2077207,2144663,2203713,2262880,2321350,2378319,2433278,2468174,2500700,2532035,2563662,2597024,2637921,2681397,2727889,2777720,2830785,2891458,2955711,3023203,3093056,3164670,3231870,3301569,3372814,3444540,3516303,3586155,3656661,3727583,3798771,3870067,3939327,4008523,4078086,4148614,4220327,4334139,4451253,4571506,4694596,4820274
HRV,191,Croatia,750982,754586,754948,753123,750939,749500,748860,749579,751094,752429,753085,755039,756523,757734,759034,760534,761363,762203,763130,764383,766104,765772,759350,752260,743304,731818,720962,708241,694817,682390,671921,660999,652032,644070,635762,626410,616410,605060,593025,581213,569990,558972,548820,539438,530565,522203,515643,509590,503852,498180,492314,486182,479731,473077,466397,459840,453503,447226,440982,434759,428577,422654,416550,410433,404465,398704
CUB,192,Cuba,1337239,1358484,1374580,1388200,1404203,1424643,1443693,1468301,1497000,1526174,1553986,1587788,1616445,1642748,1671053,1702975,1734208,1769945,1807240,1841934,1871994,1896995,1919892,1939483,1954955,1966130,1979696,1986135,1987399,1985915,1982671,1977448,1970411,1962059,1952960,1943670,1936235,1928897,1919490,1904792,1882852,1857104,1824541,1786385,1746514,1706886,1668285,1630371,1592869,1554972,1516474,1480589,1444265,1409377,1378670,1353659,1335529,1322976,1314134,1306008,1296646,1291658,1285279,1276967,1266201,1252688
CYP,196,Cyprus,89080,91327,93614,95928,97678,99506,100991,102564,104194,105816,107386,107430,107329,107205,107205,107448,108072,109127,110485,111983,113531,115585,117782,120117,122555,125021,126698,128388,130136,131983,133971,136188,138418,140622,142684,144503,145107,145407,145575,145838,146366,147117,147912,148811,149717,150605,151539,152421,153238,153992,154705,155488,156128,156639,157045,157367,157642,157811,157820,157586,157093,156145,154814,153268,151774,150516
CZE,203,Czech Republic,1748392,1767449,1774582,1774023,1773254,1776483,1778744,1785322,1793880,1801121,1805644,1786684,1767265,1748103,1730100,1713840,1705339,1695319,1684971,1675429,1666545,1651533,1638322,1625186,1610077,1592395,1571805,1550148,1527272,1503361,1478788,1455298,1430093,1405468,1383940,1366460,1349718,1337211,1327037,1316587,1304313,1288290,1271340,1254791,1238881,1224288,1213297,1202775,1191589,1179452,1165654,1148807,1130723,1111407,1090935,1069742,1048730,1026935,1006164,988960,976851,959155,945424,934621,924863,915006
PRK,408,Democratic People's Republic of  of Korea,2540228,2559985,2596170,2640563,2680632,2712732,2751284,2786281,2819347,2853845,2891035,2951236,3000383,3045690,3095470,3152162,3182413,3230208,3288824,3349110,3408382,3488143,3564314,3636466,3706959,3775582,3836387,3895477,3954861,4015433,4077831,4148651,4220908,4287952,4340764,4373680,4385685,4377512,4357960,4339628,4331584,4338600,4354522,4372477,4380841,4372004,4345255,4306135,4256821,4201550,4144228,4088067,4028072,3970421,3924200,3894181,3880274,3883022,3892899,3895005,3880219,3891104,3888516,3876262,3861302,3847921
COD,180,Democratic Republic of the Congo,3304191,3375965,3450980,3530085,3614544,3705157,3790077,3883463,3982705,4084694,4187815,4275732,4366282,4461624,4564633,4666434,4761153,4868257,4989338,5126076,5278595,5440907,5623003,5813863,6001728,6180850,6320865,6452261,6585128,6731115,6897104,7068068,7262093,7475703,7704921,7946864,8179243,8430879,8698449,8978453,9269317,9556666,9857661,10172320,10498997,10833784,11161371,11497458,11841232,12192102,12549196,12895411,13248735,13606841,13967414,14328661,14676582,15024745,15370982,15713257,16049450,16595899,17159766,17739407,18333083,18939608
DNK,208,Denmark,796001,798623,800161,801121,802306,804129,805893,808203,810952,813907,816952,820677,824339,827975,831581,835055,839074,842535,845336,847295,848210,847931,847026,845250,842387,838430,832820,826649,820040,813284,806637,799898,792964,786181,779773,773753,767638,762035,756912,752123,747501,740831,734428,729013,723962,718631,713058,706312,699385,693669,689861,686455,685041,685102,685711,686346,687070,687868,688981,690937,694024,697848,702260,706910,711166,714580
