"Country letter code","ISO code","Country","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035"
"AZE",31,"Azerbaijan",738212,751474,765546,780696,797291,815551,835376,856549,879018,902750,927616,953902,981344,1008666,1034175,1056787,1075877,1092114,1107283,1123896,1143743,1167321,1194027,1223204,1253770,1284870,1316458,1348575,1380521,1411405,1440537,1467413,1492022,1514751,1536271,1557022,1577110,1596179,1613688,1628908,1641377,1650930,1657849,1661663,1663522,1664122,1663817,1662672,1660742,1657935,1654177,1649456,1643907,1637675,1630906,1623576,1615595,1606603,1595943,1582840,1566716,1558830,1548286,1535079,1519255,1500976
"BHS",44,"Bahamas",21559,22099,22616,23103,23555,23972,24342,24677,25013,25400,25869,26434,27079,27767,28446,29078,29656,30192,30699,31201,31714,32240,32772,33291,33780,34223,34619,34978,35317,35657,36009,36368,36723,37074,37421,37763,38108,38448,38751,38972,39081,39139,39157,39174,39240,39394,39653,40008,40438,40912,41403,41905,42426,42990,43630,44368,45218,46165,47178,48212,49228,49234,49156,49016,48854,48697
"BHR",48,"Bahrain",29410,30599,31704,33019,34555,36324,38304,40473,42824,45353,48048,50937,53976,57001,59784,62169,64082,65594,66868,68143,69594,71292,73195,75247,77346,79437,81573,83830,86191,88630,91159,93554,95887,98778,103037,109113,117314,127120,137154,145615,151310,153626,153461,151767,149866,148686,148443,148863,149768,150834,151831,152742,153672,154659,155773,157039,158484,160040,161547,162799,163654,163154,162197,160924,159535,158192
"BGD",50,"Bangladesh",12065038,12281989,12454019,12609435,12788549,12996084,13265012,13586198,13948080,14332781,14728252,15132290,15550749,15989348,16456323,16956838,17493525,18062729,18655520,19259259,19864923,20467545,21070019,21680665,22312097,22973058,23664627,24381955,25120660,25874253,26636970,27407899,28185056,28960113,29722700,30464908,31182356,31875107,32545176,33196700,33832461,34451237,35025311,35558118,36049699,36499491,36906300,37267558,37580055,37840131,38044876,38194104,38286793,38317466,38278534,38164202,37970916,37699376,37352412,36935285,36451397,36526570,36572513,36592661,36590952,36570482
"BRB",52,"Barbados",19331,19399,19637,19955,20230,20382,20378,20257,20095,19999,20041,20232,20536,20922,21337,21742,22135,22517,22854,23108,23258,23308,23280,23212,23150,23130,23159,23226,23319,23424,23525,23626,23728,23827,23915,23987,24043,24084,24117,24144,24173,24203,24236,24288,24378,24522,24728,24993,25304,25633,25967,26296,26627,26974,27363,27807,28315,28879,29482,30099,30710,30679,30623,30551,30473,30399
"BLR",112,"Belarus",1639072,1650844,1659081,1664507,1668461,1672004,1674963,1677117,1679441,1683174,1678106,1675883,1676101,1676945,1675874,1671234,1662121,1649521,1635932,1624811,1618464,1617670,1621224,1626991,1631941,1633883,1632203,1627459,1620048,1610756,1600141,1588239,1574797,1559780,1543126,1524852,1505001,1483785,1461605,1438981,1415124,1392010,1369649,1348127,1327480,1307714,1289000,1271324,1254272,1237242,1219815,1201753,1183225,1164692,1146822,1130055,1114486,1099854,1085804,1071857,1057666,1040088,1022071,1003595,984643,965285
"BEL",56,"Belgium",1645365,1644571,1636754,1625159,1614441,1607855,1606260,1608508,1613368,1618885,1623664,1627425,1630687,1633815,1637448,1642060,1647556,1653683,1660500,1668013,1676028,1684777,1693813,1701433,1705454,1704477,1697815,1686248,1671685,1656819,1643609,1632504,1623000,1614893,1607696,1600961,1594858,1589353,1583556,1576323,1566453,1554469,1540711,1525785,1510572,1495727,1481403,1467493,1454072,1441170,1428821,1417116,1406134,1395868,1386283,1377349,1369099,1361581,1354775,1348610,1342997,1340568,1338328,1336394,1334932,1334048
"BLZ",84,"Belize",16781,16857,16852,16804,16766,16785,16868,17014,17240,17573,18024,18598,19284,20050,20857,21672,22493,23323,24138,24906,25610,26240,26812,27380,28017,28770,29652,30648,31728,32857,34005,35166,36346,37556,38812,40122,41489,42896,44321,45730,47099,48347,49551,50718,51853,52963,54045,55100,56122,57118,58082,59017,59924,60808,61674,62529,63373,64207,65024,65810,66561,67441,68266,69048,69805,70547
"BEN",204,"Benin",554011,563600,573803,584716,596439,609058,622634,637190,652709,669162,682710,696999,712068,727826,744142,760970,778129,795749,814442,835017,857967,883679,911784,941127,970123,997736,1023481,1047912,1072271,1098310,1127230,1159375,1194230,1231060,1268785,1306604,1344359,1382232,1420182,1458236,1496441,1534718,1573059,1612147,1651565,1691456,1731813,1772530,1813529,1854703,1895927,1937094,1978088,2018757,2058939,2098458,2137154,2174825,2211209,2246032,2279004,2340405,2402266,2464513,2527076,2589885
"BMU",60,"Bermuda",7746,7849,7949,8047,8154,8275,8413,8566,8728,8897,9069,9163,9258,9347,9433,9512,9588,9654,9713,9754,9777,9780,9765,9732,9678,9605,9511,9400,9275,9146,9015,8890,8765,8637,8501,8351,8188,8014,7831,7642,7451,7257,7071,6897,6745,6618,6521,6450,6401,6366,6336,6313,6295,6287,6292,6314,6353,6404,6469,6541,6614,6624,6627,6626,6617,6600
"BTN",64,"Bhutan",45199,46560,47980,49440,50922,52408,53900,55393,56862,58264,59582,60759,61807,62846,64045,65500,67341,69484,71560,73062,73668,73198,71878,70260,69128,69045,70204,72431,75471,78914,82443,85999,89665,93411,97245,101161,104327,107443,110511,113560,116601,119636,122638,125550,128296,130821,133098,135137,136970,138637,140172,141582,142850,143945,144834,145491,145904,146082,146049,145838,145474,146134,146657,147015,147164,147078
"BOL",68,"Bolivia (Plurinational State of)",592877,608121,623891,640127,656747,673706,690967,705172,719623,734451,749746,765541,781802,798482,815498,832798,850346,868155,886264,904733,923589,942845,962448,982295,1002252,1022219,1042139,1062025,1081933,1101947,1122122,1142525,1163105,1183659,1203916,1223708,1242905,1261646,1280373,1299681,1319964,1341333,1363577,1385980,1408831,1431822,1454938,1478248,1501648,1525016,1548283,1571370,1594334,1617417,1640962,1665221,1690281,1716075,1742490,1769317,1796380,1823346,1849684,1875324,1900205,1924267
"BIH",70,"Bosnia and Hercegovina",638361,650350,661627,672388,682979,693657,704416,715152,725911,736734,747640,758167,762560,766932,772173,778614,787440,797752,805453,805169,793683,769015,733767,694788,661316,639524,631717,635130,644632,652858,654683,648752,636972,621508,605724,592014,581009,571850,564044,556721,549247,541574,533993,526610,519613,513150,507195,501710,496822,492678,489346,486842,485026,483614,482250,480655,478808,476690,474061,470624,466175,461387,455335,448300,440696,432849
"BWA",72,"Botswana",70565,72606,74554,76697,79121,81878,85009,88471,92135,95825,99416,102868,106225,109562,112990,116590,120366,124296,128410,132735,137289,142056,147003,152097,157287,162522,167797,173060,178143,182842,187010,190598,193648,196232,198466,200446,202199,203746,205168,206562,208009,209541,211255,213298,215746,218660,222072,225981,230360,235158,240334,245883,251801,258043,264555,271279,278196,285280,292472,299699,306905,310928,314608,317979,321095,324006
"BRA",76,"Brazil",12486157,12828036,13185103,13556121,13939411,14333976,14738092,15152377,15580824,16028866,16499550,16994347,17509748,18037700,18567377,19090966,19604832,20110574,20612089,21115764,21625916,22142752,22663303,23184846,23703462,24215718,24720087,25215472,25699197,26168265,26619986,27052408,27464039,27853283,28218792,28559440,28875543,29166544,29429826,29662267,29862589,30021974,30153977,30268138,30376950,30489247,30607751,30729775,30851943,30968769,31075868,31173802,31262663,31336973,31389484,31414826,31412218,31383310,31328125,31247182,31141715,30988776,30803880,30597874,30384956,30175902
"VGB",92,"British Virgin Islands",1038,1062,1090,1117,1145,1170,1193,1216,1240,1276,1324,1384,1458,1543,1641,1752,1877,2010,2143,2263,2360,2432,2482,2519,2549,2578,2607,2636,2665,2695,2726,2757,2791,2828,2874,2929,2997,3074,3150,3212,3248,3257,3241,3211,3180,3157,3147,3147,3154,3167,3184,3204,3228,3256,3287,3320,3356,3392,3431,3467,3504,3504,3500,3494,3489,3485
